Occupation Code / 职业代码,Occupation Name / 职业名称,KSA ID / KSA 编号,KSA Type / KSA 类型,KSA Subcategory / KSA 子类别,KSA Unit Name (CN) / KSA 单元名称 (中文),KSA Definition (CN) / KSA 定义 (中文),Related Tasks / 关联任务
,人民政协机关负责人,S001,Skill,,公文写作与文案处理,熟练运用规范公文格式，撰写政策建议、会议报告及协商纪要的文本生成能力。,T004|T009
,人民政协机关负责人,S002,Skill,,多方关系协调,在党派、团体及各界别之间建立信任、化解分歧并达成共识的沟通技巧。,T002|T003
,人民政协机关负责人,S003,Skill,,会议组织与流程控制,策划、执行及监控政协会议全过程，确保程序合规与议程顺利推进的操作技能。,T002|T006
,人民政协机关负责人,A001,Ability,,政治把握能力,在复杂政治环境中保持正确方向，准确识别政治风险并做出符合政策导向判断的内在素质。,T001|T005
,人民政协机关负责人,A002,Ability,,体力耐力与抗压能力,适应高强度会议组织、长时间加班及应对突发政治事件的生理与心理承受力。,T002|T007
,人民政协机关负责人,A003,Ability,,合作共事与情感共鸣,在多元利益群体中建立情感连接，通过非语言互动促进团队协作与共识形成的社会能力。,T003|T008
,监察机关负责人,K001,Knowledge,,监察法与党纪党规体系,对《中华人民共和国监察法》及党内法规体系的条文记忆、理解与适用逻辑。,T004|T006
,监察机关负责人,K002,Knowledge,,调查取证与案件审理程序,掌握从线索初核到立案、调查、审理、处分的标准化操作流程与证据规则。,T003|T001
,监察机关负责人,K003,Knowledge,,廉政建设与政治生态研判,理解组织内部政治生态，制定预防腐败战略及系统性治理方案的能力。,T002|T005
,监察机关负责人,S001,Skill,,证据链构建与法律适用,将零散线索转化为符合法律标准的证据链，并准确适用法条进行定性的技术能力。,T003|T001
,监察机关负责人,S002,Skill,,高压情境下的沟通与谈判,在对抗性调查或危机处理中，通过语言与非语言技巧获取信息、施加压力或达成和解。,T005|T008
,监察机关负责人,S003,Skill,,复杂案情逻辑推演,在信息不完全情况下，运用批判性思维识别矛盾点、重构事实逻辑并做出判断。,T001|T004
,监察机关负责人,A001,Ability,,政治决断与责任承担,在面临重大利益冲突或法律模糊地带时，敢于做出最终决定并承担政治与法律后果的心理素质。,T001|T002
,监察机关负责人,A002,Ability,,高强度心理抗压与情绪控制,在长期高压、诱惑或威胁环境下保持情绪稳定、思维清晰及行为合规的生理心理状态。,T005|T008
,监察机关负责人,A003,Ability,,组织信任构建与权威维护,通过公正廉洁的行为表现，在组织内部建立道德权威并赢得下属及公众信任的社会能力。,T002|T005
,人民法院负责人,K001,Knowledge,,法律法规体系,对宪法、民法典、刑法及诉讼法等成文法条文的记忆与理解，以及司法解释的掌握。,T001|T003|T007
,人民法院负责人,K002,Knowledge,,审判程序规范,关于立案、审理、判决、执行等诉讼流程的操作性规则与时效要求。,T001|T003|T008
,人民法院负责人,K003,Knowledge,,司法管理战略,关于法院资源配置、绩效考核、司法改革政策及社会矛盾化解的宏观规划知识。,T002|T004|T006
,人民法院负责人,S001,Skill,,法律解释技术,运用文义、体系、目的等解释方法，将抽象法律条文应用于具体案件事实的技术能力。,T001|T007
,人民法院负责人,S002,Skill,,司法沟通与协调,与当事人、律师、政府机构及社会公众进行有效沟通，化解矛盾并建立信任的软技能。,T004|T008
,人民法院负责人,S003,Skill,,司法决策推理,在证据不足或法律模糊情况下，基于逻辑、经验与价值判断做出最终裁决的思维能力。,T001|T003
,人民法院负责人,A001,Ability,,复杂情境判断力,在信息不完全、时间紧迫且利益冲突激烈的环境下，迅速识别核心问题并做出最优决策的潜能。,T001|T002
,人民法院负责人,A002,Ability,,行政办公耐力,长时间处理高强度文书工作、会议及突发状况的生理与心理承受力。,T006|T010
,人民法院负责人,A003,Ability,,社会公信力构建,通过公正行为与道德示范，在公众心中建立司法权威与信任的社会影响力。,T004|T005
,人民检察院负责人,K001,Knowledge,,刑事诉讼法与检察业务规范,对《刑事诉讼法》、《人民检察院组织法》及最高检司法解释的精准掌握，用于指导办案流程。,T001|T007
,人民检察院负责人,K002,Knowledge,,法律监督程序执行,掌握立案监督、侦查监督、审判监督的具体操作流程与合规性审查标准。,T001|T004
,人民检察院负责人,K003,Knowledge,,司法政策与政治导向,理解国家司法改革方向、刑事政策变化及检察机关在法治建设中的战略定位。,T003|T006
,人民检察院负责人,S001,Skill,,案件证据审查技术,运用逻辑推理与证据规则，从海量卷宗中识别矛盾点、补强证据链的实操能力。,T001|T007
,人民检察院负责人,S002,Skill,,司法沟通与谈判,在庭审、听证及信访接待中，与律师、当事人、法官进行有效沟通并化解矛盾的技巧。,T002|T008
,人民检察院负责人,S003,Skill,,法律逻辑推理,将复杂案情事实转化为法律构成要件，进行严谨的逻辑推演与定性分析的能力。,T001|T004
,人民检察院负责人,A001,Ability,,司法公正判断力,在缺乏明确规则或规则冲突时，基于良知与法律原则做出符合公平正义的决断。,T002|T004
,人民检察院负责人,A002,Ability,,高强度工作耐力,在长期高压、突发案件频发及加班办案环境下保持专注与决策质量的生理心理状态。,T001|T006
,人民检察院负责人,A003,Ability,,组织领导力,凝聚团队共识、激励下属、协调外部关系并推动检察改革落地的影响力。,T005|T008
,民主党派负责人,K001,Knowledge,,统一战线政策理论,对中国共产党领导的多党合作和政治协商制度的历史沿革、核心原则及最新政策文件的系统性掌握。,T001|T004
,民主党派负责人,K002,Knowledge,,政治协商操作流程,掌握组织会议、提案处理、意见反馈等协商活动的具体步骤、规范与行政程序。,T002|T008
,民主党派负责人,K003,Knowledge,,战略决策与政治把握,在复杂政治环境中识别关键利益相关者，预判政策影响并制定长远发展策略的能力基础。,T001|T003
,民主党派负责人,S001,Skill,,政策文本撰写与编辑,能够准确、规范地起草参政议政报告、会议纪要及政策建议文件的专业写作技能。,T004|T009
,民主党派负责人,S002,Skill,,人际沟通与协商技巧,在政治协商中运用语言与非语言技巧，有效协调各方观点、化解矛盾并达成共识的互动技能。,T002|T005
,民主党派负责人,S003,Skill,,组织诊断与架构设计,分析组织内部结构问题，设计优化方案并实施人员配置调整的分析与规划技能。,T003|T008
,民主党派负责人,A001,Ability,,政治敏锐度与判断力,在信息不完全或环境复杂时，准确识别政治方向、把握政策底线并做出正确决策的内在认知能力。,T001|T004
,民主党派负责人,A002,Ability,,体能与精力维持,适应高频次会议、调研及出差等高强度工作节奏，保持长时间专注与行动力的生理基础。,T002|T008
,民主党派负责人,A003,Ability,,社会影响力与领导力,通过个人魅力与政治威望凝聚共识、动员成员并建立广泛社会信任网络的社会互动能力。,T005|T010
,工商联负责人,K001,Knowledge,,宏观经济政策与法规体系,掌握国家宏观经济调控方向、产业扶持政策及相关法律法规的 declarative 知识体系。,T003|T007
,工商联负责人,K002,Knowledge,,商会组织管理与运营流程,熟悉商会章程、会员管理制度、财务规范及项目执行的标准 procedural 操作规范。,T005|T010
,工商联负责人,K003,Knowledge,,政企关系战略与资源整合逻辑,理解政府、企业与行业协会三方博弈逻辑，掌握构建长期战略合作关系的 strategic 思维模型。,T001|T004
,工商联负责人,S001,Skill,,政策文本分析与转化技能,将复杂的宏观政策文本转化为可执行的企业服务指南与具体操作方案的 technical 技能。,T003
,工商联负责人,S002,Skill,,多方利益协调与谈判技能,在政企对话中平衡各方诉求，通过沟通技巧化解冲突并达成共识的 interpersonal 技能。,T002|T006
,工商联负责人,S003,Skill,,数据驱动决策分析技能,运用统计工具与 AI 辅助手段分析运营数据，识别问题并优化管理流程的 cognitive 技能。,T005|T010
,工商联负责人,A001,Ability,,复杂战略决策能力,在信息不完全与多变量干扰下，快速判断形势并制定长远发展方向的 cognitive 能力。,T001|T004
,工商联负责人,A002,Ability,,高强度体力与精力维持能力,适应高频次会议、出差及长时间工作负荷，保持身体与精神处于高效状态的 physical 能力。,T002|T009
,工商联负责人,A003,Ability,,社会网络构建与信任建立能力,通过长期互动建立广泛社会关系网，并在关键节点获取他人信任与支持的社会 ability。,T002|T004
,工会负责人,K001,Knowledge,,劳动法律法规体系,掌握《劳动法》、《工会法》及社会保障条例等成文法条与司法解释，作为维权依据。,T002|T008
,工会负责人,K002,Knowledge,,工会运作程序规范,熟悉工会选举、会议组织、财务审批及纠纷处理的标准操作流程与合规要求。,T006|T010
,工会负责人,K003,Knowledge,,集体谈判战略理论,理解劳资博弈模型、利益相关者分析及长期组织发展战略的构建逻辑。,T001|T003
,工会负责人,S001,Skill,,政策文本撰写与报告编制,能够准确、规范地起草政策建议、会议纪要及各类行政公文的能力。,T007|T009
,工会负责人,S002,Skill,,多方利益协调与谈判,在劳资双方及政府机构间进行有效沟通、妥协与达成共识的实操技巧。,T001|T004
,工会负责人,S003,Skill,,数据调研与需求分析,运用统计工具与定性方法收集职工诉求，并转化为可执行决策建议的分析能力。,T005|T008
,工会负责人,A001,Ability,,复杂情境决策判断,在信息不完全或规则模糊的冲突现场，迅速做出符合组织利益与法律底线的判断。,T003|T010
,工会负责人,A002,Ability,,高强度体力与时间管理,适应频繁出差、长时间会议及突发维权事件处理所需的体能与精力储备。,T001|T004
,工会负责人,A003,Ability,,组织动员与情感共鸣,激发职工参与热情，建立信任关系，并在危机时刻凝聚团队共识的社会影响力。,T001|T004
,共青团负责人,K001,Knowledge,,青年工作理论体系,掌握共青团工作的基本理论、历史沿革及当前青年群体的思想特征与行为规律。,T001|T003
,共青团负责人,K002,Knowledge,,思想政治教育实施规范,熟悉国家关于青年思想政治教育的政策文件、操作流程及合规性要求。,T001|T005
,共青团负责人,K003,Knowledge,,组织战略发展规划,能够根据社会发展趋势制定共青团组织的长期发展目标和阶段性战略路径。,T004|T008
,共青团负责人,S001,Skill,,活动策划与执行技能,具备独立设计、组织、协调并落地实施各类青年主题活动的实操能力。,T002
,共青团负责人,S002,Skill,,人际沟通与协调技能,能够运用语言和非语言技巧，有效化解矛盾、建立信任并协调多方资源。,T006|T007
,共青团负责人,S003,Skill,,政策分析与文案撰写技能,能够准确理解政策精神，撰写高质量的宣传稿件、调研报告及行政公文。,T005|T008
,共青团负责人,A001,Ability,,战略思维与创新能力,在复杂多变的社会环境中，能够突破常规思维，提出具有前瞻性的工作策略。,T001|T004
,共青团负责人,A002,Ability,,体力耐力与现场适应力,能够适应长时间户外工作、高强度活动组织及突发状况下的身体与心理负荷。,T002
,共青团负责人,A003,Ability,,社会亲和力与感召力,具备自然流露的亲和力，能够迅速与青年群体建立情感连接并产生榜样效应。,T003|T007
,妇联负责人,K001,Knowledge,,妇女儿童权益保障法规体系,掌握《妇女权益保障法》、《未成年人保护法》及相关法律法规的具体条款、司法解释及最新修订内容。,T001|T004|T005
,妇联负责人,K002,Knowledge,,社会政策执行与调研方法论,熟悉社会调查的抽样技术、问卷设计、访谈技巧及数据分析流程，能够规范执行实地调研。,T002|T005
,妇联负责人,K003,Knowledge,,性别平等战略与宏观政策分析,理解性别平等理论框架，能够结合社会发展趋势制定区域性的妇女发展策略与长远规划。,T004|T007
,妇联负责人,S001,Skill,,政策倡导与公文写作,能够撰写高质量的政策建议报告、调研报告及宣传材料，并运用修辞技巧进行有效的政策游说。,T005|T001
,妇联负责人,S002,Skill,,人际沟通与冲突调解,具备在家庭纠纷、社区矛盾中运用倾听、共情及谈判技巧化解冲突、建立信任的实操能力。,T003|T006
,妇联负责人,S003,Skill,,数据洞察与逻辑推理,能够从复杂的调研数据中识别关键问题，运用逻辑推理构建政策建议的因果链条。,T002|T004
,妇联负责人,A001,Ability,,战略决策与风险评估,在信息不完全的情况下，能够综合多方因素做出符合伦理与法律的最佳决策，并预判潜在风险。,T004|T009
,妇联负责人,A002,Ability,,组织动员与资源调配,具备调动志愿者、协调政府部门及整合社会资源以达成组织目标的执行能力。,T006|T007
,妇联负责人,A003,Ability,,情感共鸣与同理心,能够敏锐感知服务对象（妇女儿童）的情绪状态，建立深层情感连接并提供心理支持。,T002|T003
,其他人民团体和群众团体负责人,K001,Knowledge,,政策法规与政治理论,掌握国家法律法规、社团管理政策及特定领域的政治理论，确保团体活动合规。,T001|T004
,其他人民团体和群众团体负责人,K002,Knowledge,,社团运营流程规范,熟悉团体内部治理结构、财务管理制度及活动组织的具体操作程序。,T002|T006
,其他人民团体和群众团体负责人,K003,Knowledge,,战略规划与危机管理,理解宏观社会趋势，能够制定团体长远发展路径并预判潜在风险。,T001|T005
,其他人民团体和群众团体负责人,S001,Skill,,活动策划与执行,能够独立设计、组织并现场管控各类群众性活动与会议的能力。,T002
,其他人民团体和群众团体负责人,S002,Skill,,人际沟通与谈判,在复杂利益关系中运用语言与非语言技巧建立信任、化解冲突并达成共识。,T003|T005
,其他人民团体和群众团体负责人,S003,Skill,,政策分析与合规判断,快速解读政策文本，评估其对团体运营的影响并做出合规性决策。,T004
,其他人民团体和群众团体负责人,A001,Ability,,战略决策力,在信息不完全或环境多变的情况下，凭借经验与直觉做出关键方向性判断。,T001
,其他人民团体和群众团体负责人,A002,Ability,,体力耐力与现场管控,具备在长时间活动组织与会议中保持高强度工作状态的生理基础。,T002|T009
,其他人民团体和群众团体负责人,A003,Ability,,社会影响力构建,通过个人魅力与组织行为在外部社会网络中建立权威与号召力的潜能。,T003|T005
,社会团体负责人,K001,Knowledge,,社团法规与合规性知识,掌握《社会团体登记管理条例》及相关法律法规，确保组织运作符合法律框架。,T001|T003
,社会团体负责人,K002,Knowledge,,组织管理流程知识,熟悉社团章程、会议制度、财务审批流程及人事管理的具体操作步骤。,T006|T008
,社会团体负责人,K003,Knowledge,,行业趋势与战略洞察,理解所在行业或领域的宏观发展趋势，能够据此制定社团长期发展方向。,T001|T005
,社会团体负责人,S001,Skill,,会议主持与流程控制,能够熟练运用议事规则，有效引导会议进程，确保决策效率与秩序。,T002
,社会团体负责人,S002,Skill,,人际沟通与冲突调解,具备在复杂人际关系中建立信任、化解矛盾及协调多方利益的高超沟通技巧。,T004|T005
,社会团体负责人,S003,Skill,,公文写作与文档处理,能够规范撰写决议、公告、报告等行政公文，并熟练运用办公软件进行文档管理。,T007|T010
,社会团体负责人,A001,Ability,,战略决策与判断力,在信息不完全或环境多变的情况下，能够迅速做出符合组织长远利益的判断。,T001|T003
,社会团体负责人,A002,Ability,,体力耐力与现场适应力,能够适应长时间会议、外出考察及各类活动组织所需的体力消耗与现场环境变化。,T002|T009
,社会团体负责人,A003,Ability,,社会影响力与领导力,具备凝聚团队共识、动员社会资源及在公共领域建立组织声誉的潜在影响力。,T004|T005
,民办非企业单位负责人,K001,Knowledge,,非营利组织治理法规,掌握民办非企业单位的设立、变更、注销及日常运营相关的法律法规与政策文件。,T001|T005
,民办非企业单位负责人,K002,Knowledge,,社会服务项目管理流程,熟悉社会服务项目的从需求评估、方案设计、执行监控到效果评估的全生命周期操作规范。,T004|T006
,民办非企业单位负责人,K003,Knowledge,,组织战略与资源生态分析,理解非营利组织在特定社会环境下的生存逻辑、资源依赖关系及长期发展战略制定方法。,T001|T003
,民办非企业单位负责人,S001,Skill,,数字化资源管理工具应用,熟练运用财务软件、项目管理系统及数据分析工具进行资源调配与绩效监控。,T003|T007
,民办非企业单位负责人,S002,Skill,,利益相关者沟通与谈判,能够与捐赠人、政府官员、服务对象及员工进行有效沟通，建立信任并达成合作共识。,T002|T008
,民办非企业单位负责人,S003,Skill,,复杂问题解决与决策制定,在信息不完全或环境多变的条件下，运用逻辑推理和批判性思维制定最优解决方案。,T005|T010
,民办非企业单位负责人,A001,Ability,,战略创新思维,能够突破传统思维定势，设计新颖的社会服务产品或运营模式以适应环境变化。,T001|T005
,民办非企业单位负责人,A002,Ability,,组织耐力与抗压能力,在资源匮乏、舆论压力或突发危机中保持心理稳定并持续推动组织运转的生理与心理承受力。,T004|T005
,民办非企业单位负责人,A003,Ability,,社会共情与感召力,能够敏锐感知服务对象需求，通过个人魅力和价值观感召团队及公众支持组织使命。,T002|T008
,社会中介组织负责人,K001,Knowledge,,社会中介市场规则与法律法规,对社会中介组织运营所需的法律法规、行业规范及市场准入机制的陈述性知识掌握。,T005|T008
,社会中介组织负责人,K002,Knowledge,,组织运营与危机应对流程,执行组织日常运营、危机处理及资源调配的具体步骤与操作程序知识。,T006|T009
,社会中介组织负责人,K003,Knowledge,,行业宏观趋势与战略规划,对社会中介行业发展趋势、政策导向及组织长期发展路径的战略性理解。,T001|T004
,社会中介组织负责人,S001,Skill,,专业服务交付与流程执行,运用专业知识向服务对象提供符合标准的专业服务及操作技能。,T008|T010
,社会中介组织负责人,S002,Skill,,人际沟通与关系构建,通过语言与非语言技巧建立、维护与修复与利益相关者信任关系的能力。,T002|T007
,社会中介组织负责人,S003,Skill,,数据分析与决策支持,利用数据工具分析市场信息、财务数据以支持管理决策的操作技能。,T001|T008
,社会中介组织负责人,A001,Ability,,复杂情境下的专业判断,在信息不完全或规则模糊的情况下，运用经验与逻辑进行准确决策的内在认知能力。,T001|T006
,社会中介组织负责人,A002,Ability,,体力耐力与现场适应,适应长时间工作、出差及应对突发现场状况的生理与心理承受力。,T004|T007
,社会中介组织负责人,A003,Ability,,领导力与团队影响力,激励团队成员、协调冲突并引导组织向目标前进的社会互动能力。,T002|T003
,基金会负责人,K001,Knowledge,,公益慈善法规体系,掌握中国及国际公益慈善领域的法律法规、政策导向及合规性要求，确保组织运作合法。,T003|T006
,基金会负责人,K002,Knowledge,,非营利组织项目管理流程,熟悉项目从立项、执行到评估的全套标准化操作流程及风险控制机制。,T005|T008
,基金会负责人,K003,Knowledge,,组织战略与治理架构,理解非营利组织的治理结构、战略规划逻辑及长期可持续发展模式。,T001|T004
,基金会负责人,S001,Skill,,财务预算编制与审计,能够熟练运用财务工具进行预算编制、资金监控及合规性审计操作。,T003|T005
,基金会负责人,S002,Skill,,利益相关者沟通与谈判,具备与捐赠人、政府、受助方及媒体进行高效沟通、建立信任及达成合作的能力。,T002|T004|T007
,基金会负责人,S003,Skill,,危机研判与决策制定,在信息不完全或环境复杂的情况下，运用逻辑推理和经验快速制定应对策略。,T001|T005
,基金会负责人,A001,Ability,,宏观战略思维,具备从宏观视角分析社会问题，制定长远发展愿景并转化为可执行路径的思维能力。,T001|T003
,基金会负责人,A002,Ability,,组织体力与精力维持,能够承受高强度的工作负荷，保持长时间专注以处理复杂的行政与协调事务。,T005|T008
,基金会负责人,A003,Ability,,社会公信力构建,通过个人道德修养、言行一致及透明运作，在公众和利益相关者中建立并维持信任的能力。,T002|T009
