Occupation Code / 职业代码,Occupation Name / 职业名称,Task ID / 任务编号,Task Description (CN) / 任务描述 (中文),Weight Category / 权重类别,Weight Percentage / 权重百分比,Substitutivity (0-1) / 替代性 (0-1 分制),Augmentation (0-1) / 增强性 (0-1 分制),Complementarity (0-1) / 互补性 (0-1 分制),Substitutivity (1-5) / 替代性 (1-5 分制),Augmentation (1-5) / 增强性 (1-5 分制),Complementarity (1-5) / 互补性 (1-5 分制)
,通信工程技术人员,T006,Coordinate technical teams and client stakeholder communications,Secondary,0.1,0.1,0.5,0.9,1,3,5
,通信工程技术人员,T007,Document engineering specifications and compliance reports,Secondary,0.1,0.75,0.85,0.5,4,4,3
,通信工程技术人员,T008,Monitor network performance metrics and generate alerts,Secondary,0.1,0.9,0.95,0.4,5,5,3
,通信工程技术人员,T009,Conduct safety inspections and physical equipment maintenance,Ancillary,0.05,0.1,0.3,0.8,1,2,4
,通信工程技术人员,T010,Research emerging communication technologies and standards,Ancillary,0.05,0.45,0.7,0.65,3,4,4
,电子产品制版工,T001,操作光绘设备生成电路图形,Primary,0.12,0.15,0.85,0.8,2,4,4
,电子产品制版工,T002,执行图形转移工艺参数设定,Primary,0.12,0.2,0.8,0.75,2,4,4
,电子产品制版工,T003,检查制版成品质量与缺陷,Primary,0.12,0.3,0.7,0.7,2,4,4
,电子产品制版工,T004,分析制版失败原因并调整方案,Primary,0.12,0.25,0.75,0.75,2,4,4
,电子产品制版工,T005,绘制基础电路线路图稿,Primary,0.12,0.4,0.6,0.6,3,3,3
,电子产品制版工,T006,维护光绘设备运行状态,Secondary,0.1,0.1,0.5,0.9,1,3,5
,电子产品制版工,T007,记录制版工艺数据与报告,Secondary,0.1,0.8,0.9,0.2,4,5,2
,电子产品制版工,T008,协调生产进度与物料准备,Secondary,0.1,0.35,0.65,0.65,2,4,4
,电子产品制版工,T009,整理归档历史制版案例,Ancillary,0.05,0.9,0.8,0.1,5,4,1
,电子产品制版工,T010,培训新员工掌握制版流程,Ancillary,0.05,0.2,0.4,0.8,2,3,4
,中国共产党机关负责人,T001,Interpret Party theories and formulate organizational policies,Primary,0.12,0.15,0.75,0.85,2,4,4
,中国共产党机关负责人,T002,Execute organizational workflows and manage personnel records,Primary,0.12,0.45,0.8,0.6,3,4,3
,中国共产党机关负责人,T003,Coordinate inter-departmental communication and resolve conflicts,Primary,0.12,0.1,0.5,0.9,1,3,5
,中国共产党机关负责人,T004,Supervise subordinates and evaluate performance outcomes,Primary,0.12,0.2,0.65,0.8,2,4,4
,中国共产党机关负责人,T005,Make strategic decisions on organizational direction and resource allocation,Primary,0.12,0.05,0.7,0.95,1,4,5
,中国共产党机关负责人,T006,Draft official documents and meeting minutes,Secondary,0.1,0.6,0.9,0.5,3,5,3
,中国共产党机关负责人,T007,Monitor policy implementation and conduct compliance audits,Secondary,0.1,0.55,0.75,0.65,3,4,4
,中国共产党机关负责人,T008,Organize and lead public mobilization events,Secondary,0.1,0.15,0.6,0.85,2,3,4
,中国共产党机关负责人,T009,Maintain internal party discipline and handle disciplinary cases,Ancillary,0.05,0.1,0.4,0.9,1,3,5
,中国共产党机关负责人,T010,Archive and manage historical organizational records,Ancillary,0.05,0.7,0.85,0.4,4,4,3
,中国共产党基层组织负责人,T001,组织策划基层党员教育活动,Primary,0.12,0.15,0.75,0.85,2,4,4
,中国共产党基层组织负责人,T002,开展群众思想动态调研分析,Primary,0.12,0.1,0.6,0.9,1,3,5
,中国共产党基层组织负责人,T003,调解基层矛盾纠纷与利益冲突,Primary,0.12,0.05,0.4,0.95,1,3,5
,中国共产党基层组织负责人,T004,制定区域党建发展规划方案,Primary,0.12,0.2,0.8,0.8,2,4,4
,中国共产党基层组织负责人,T005,宣讲党的路线方针政策精神,Primary,0.12,0.3,0.7,0.7,2,4,4
,中国共产党基层组织负责人,T006,维护党员档案与组织关系管理,Secondary,0.1,0.85,0.9,0.2,4,5,2
,中国共产党基层组织负责人,T007,撰写党务公文与会议记录,Secondary,0.1,0.75,0.85,0.3,4,4,2
,中国共产党基层组织负责人,T008,协调外部资源支持社区建设,Secondary,0.1,0.25,0.5,0.75,2,3,4
,中国共产党基层组织负责人,T009,执行上级党组织指令性任务,Ancillary,0.05,0.6,0.7,0.4,3,4,3
,中国共产党基层组织负责人,T010,整理归档基层工作台账资料,Ancillary,0.05,0.9,0.8,0.15,5,4,2
,国家权力机关负责人,T001,主持立法审议会议,Primary,0.12,0.15,0.45,0.85,2,3,4
,国家权力机关负责人,T002,裁决重大法律争议,Primary,0.12,0.1,0.3,0.9,1,2,5
,国家权力机关负责人,T003,协调多方利益诉求,Primary,0.12,0.05,0.4,0.95,1,3,5
,国家权力机关负责人,T004,制定战略规划方案,Primary,0.12,0.2,0.65,0.8,2,4,4
,国家权力机关负责人,T005,签署法定行政文件,Primary,0.12,0.1,0.2,0.9,1,2,5
,国家权力机关负责人,T006,检索法律条文依据,Secondary,0.1,0.95,0.98,0.1,5,5,1
,国家权力机关负责人,T007,整理会议记录档案,Secondary,0.1,0.9,0.85,0.15,5,4,2
,国家权力机关负责人,T008,分析政策执行数据,Secondary,0.1,0.85,0.9,0.2,4,5,2
,国家权力机关负责人,T009,维护办公设备运行,Ancillary,0.05,0.95,0.1,0.05,5,1,1
,国家权力机关负责人,T010,归档历史立法文献,Ancillary,0.05,0.98,0.8,0.05,5,4,1
,国家行政机关负责人,T001,制定区域公共政策战略,Primary,0.12,0.15,0.4,0.85,2,3,4
,国家行政机关负责人,T002,指挥调度行政团队执行,Primary,0.12,0.1,0.3,0.9,1,2,5
,国家行政机关负责人,T003,主持关键行政会议决策,Primary,0.12,0.2,0.5,0.8,2,3,4
,国家行政机关负责人,T004,审核签发法定行政公文,Primary,0.12,0.35,0.75,0.65,2,4,4
,国家行政机关负责人,T005,解释执行行政法律法规,Primary,0.12,0.25,0.6,0.75,2,3,4
,国家行政机关负责人,T006,协调跨部门资源冲突,Secondary,0.1,0.1,0.4,0.9,1,3,5
,国家行政机关负责人,T007,撰写年度行政工作报告,Secondary,0.1,0.45,0.8,0.55,3,4,3
,国家行政机关负责人,T008,处理突发公共危机事件,Secondary,0.1,0.05,0.35,0.95,1,2,5
,国家行政机关负责人,T009,归档管理行政历史档案,Ancillary,0.05,0.85,0.9,0.15,4,5,2
,国家行政机关负责人,T010,维护行政机构日常秩序,Ancillary,0.05,0.6,0.5,0.4,3,3,3
,人民政协机关负责人,T001,制定统一战线理论宣传与教育计划,Primary,0.12,0.15,0.75,0.8,2,4,4
,人民政协机关负责人,T002,组织政协全体会议与专题协商会议,Primary,0.12,0.1,0.65,0.85,1,4,4
,人民政协机关负责人,T003,协调各方关系以化解政治分歧,Primary,0.12,0.05,0.4,0.95,1,3,5
,人民政协机关负责人,T004,撰写政协章程执行报告与政策建议,Primary,0.12,0.45,0.85,0.6,3,4,3
,人民政协机关负责人,T005,评估协商成果并调整后续工作策略,Primary,0.12,0.1,0.55,0.9,1,3,5
,人民政协机关负责人,T006,管理机关日常行政事务与档案归档,Secondary,0.1,0.8,0.9,0.3,4,5,2
,人民政协机关负责人,T007,处理信访接待与群众诉求记录,Secondary,0.1,0.3,0.7,0.75,2,4,4
,人民政协机关负责人,T008,维护内部沟通渠道与团队协作氛围,Secondary,0.1,0.2,0.5,0.8,2,3,4
,人民政协机关负责人,T009,整理会议记录与生成会议纪要,Ancillary,0.05,0.9,0.95,0.2,5,5,2
,人民政协机关负责人,T010,执行基础数据录入与报表统计,Ancillary,0.05,0.95,0.98,0.1,5,5,1
,监察机关负责人,T001,主持案件审理与定性量纪,Primary,0.12,0.15,0.45,0.85,2,3,4
,监察机关负责人,T002,统筹监督执纪与廉政建设规划,Primary,0.12,0.1,0.5,0.9,1,3,5
,监察机关负责人,T003,组织调查取证与线索核查,Primary,0.12,0.3,0.75,0.7,2,4,4
,监察机关负责人,T004,解读党纪党规与监察法条,Primary,0.12,0.6,0.8,0.4,3,4,3
,监察机关负责人,T005,应对突发舆情与高压谈判,Primary,0.12,0.05,0.3,0.95,1,2,5
,监察机关负责人,T006,撰写监察报告与案件卷宗,Secondary,0.1,0.7,0.85,0.3,4,4,2
,监察机关负责人,T007,维护廉政档案与数据归档,Secondary,0.1,0.85,0.6,0.2,4,3,2
,监察机关负责人,T008,协调跨部门协作与会议组织,Secondary,0.1,0.4,0.55,0.6,3,3,3
,监察机关负责人,T009,整理会议纪要与行政文书,Ancillary,0.05,0.9,0.7,0.15,5,4,2
,监察机关负责人,T010,执行保密管理与信息安全审计,Ancillary,0.05,0.5,0.65,0.5,3,4,3
,人民法院负责人,T001,主持重大疑难案件审判会议,Primary,0.12,0.15,0.45,0.85,2,3,4
,人民法院负责人,T002,制定法院年度审判管理规划,Primary,0.12,0.2,0.75,0.8,2,4,4
,人民法院负责人,T003,签发具有法律效力的司法裁判文书,Primary,0.12,0.1,0.5,0.9,1,3,5
,人民法院负责人,T004,协调处理重大社会矛盾引发的信访案件,Primary,0.12,0.05,0.3,0.95,1,2,5
,人民法院负责人,T005,监督全院法官审判质量与司法作风,Primary,0.12,0.1,0.6,0.8,1,3,4
,人民法院负责人,T006,审核并批准法院内部行政预算方案,Secondary,0.1,0.4,0.7,0.6,3,4,3
,人民法院负责人,T007,解释法律法规在特定辖区的适用标准,Secondary,0.1,0.3,0.65,0.7,2,4,4
,人民法院负责人,T008,组织全院法官业务技能培训与考核,Secondary,0.1,0.35,0.55,0.65,2,3,4
,人民法院负责人,T009,归档并管理历史司法卷宗数据,Ancillary,0.05,0.85,0.9,0.4,4,5,3
,人民法院负责人,T010,撰写法院年度工作报告与司法白皮书,Ancillary,0.05,0.5,0.8,0.5,3,4,3
,人民检察院负责人,T001,审查重大刑事案件证据链,Primary,0.12,0.35,0.75,0.65,2,4,4
,人民检察院负责人,T002,主持重大案件检察委员会会议,Primary,0.12,0.15,0.4,0.85,2,3,4
,人民检察院负责人,T003,制定全院法律监督战略规划,Primary,0.12,0.2,0.5,0.8,2,3,4
,人民检察院负责人,T004,签署关键法律文书与起诉书,Primary,0.12,0.1,0.6,0.9,1,3,5
,人民检察院负责人,T005,管理检察队伍绩效与纪律,Primary,0.12,0.25,0.55,0.75,2,3,4
,人民检察院负责人,T006,处理突发公共法律舆情事件,Secondary,0.1,0.3,0.7,0.7,2,4,4
,人民检察院负责人,T007,审核下级检察院办案质量,Secondary,0.1,0.4,0.65,0.6,3,4,3
,人民检察院负责人,T008,协调跨部门司法协作机制,Secondary,0.1,0.2,0.45,0.8,2,3,4
,人民检察院负责人,T009,归档与数字化管理检察卷宗,Ancillary,0.05,0.85,0.9,0.3,4,5,2
,人民检察院负责人,T010,撰写年度检察工作报告,Ancillary,0.05,0.6,0.8,0.5,3,4,3
,民主党派负责人,T001,制定统一战线政策执行方案,Primary,0.12,0.15,0.75,0.85,2,4,4
,民主党派负责人,T002,主持政治协商会议与对话,Primary,0.12,0.05,0.4,0.95,1,3,5
,民主党派负责人,T003,规划民主党派组织建设架构,Primary,0.12,0.1,0.65,0.8,1,4,4
,民主党派负责人,T004,撰写参政议政政策研究报告,Primary,0.12,0.6,0.9,0.7,3,5,4
,民主党派负责人,T005,协调多方利益关系与矛盾化解,Primary,0.12,0.02,0.3,0.98,1,2,5
,民主党派负责人,T006,整理民主党派历史档案资料,Secondary,0.1,0.85,0.95,0.4,4,5,3
,民主党派负责人,T007,监测社会舆情与政策反馈,Secondary,0.1,0.7,0.8,0.6,4,4,3
,民主党派负责人,T008,组织内部成员教育培训活动,Secondary,0.1,0.4,0.7,0.75,3,4,4
,民主党派负责人,T009,归档会议记录与行政文书,Ancillary,0.05,0.9,0.95,0.3,5,5,2
,民主党派负责人,T010,维护外部联络渠道与关系网络,Ancillary,0.05,0.1,0.5,0.9,1,3,5
,工商联负责人,T001,制定商会年度战略规划与政策执行方案,Primary,0.12,0.15,0.75,0.85,2,4,4
,工商联负责人,T002,主持政企对话会议并协调多方利益诉求,Primary,0.12,0.1,0.6,0.9,1,3,5
,工商联负责人,T003,解读宏观经济政策并转化为企业服务指南,Primary,0.12,0.45,0.8,0.7,3,4,4
,工商联负责人,T004,整合政府、企业与行业协会资源以推动项目落地,Primary,0.12,0.2,0.55,0.8,2,3,4
,工商联负责人,T005,评估商会运营绩效并优化管理流程,Primary,0.12,0.35,0.7,0.65,2,4,4
,工商联负责人,T006,处理会员企业日常咨询与纠纷调解,Secondary,0.1,0.5,0.65,0.5,3,4,3
,工商联负责人,T007,撰写商会工作报告与政策建议文件,Secondary,0.1,0.6,0.85,0.4,3,4,3
,工商联负责人,T008,维护商会会员档案与基础信息数据库,Secondary,0.1,0.8,0.7,0.3,4,4,2
,工商联负责人,T009,组织商会内部培训与会员交流活动,Ancillary,0.05,0.4,0.6,0.6,3,3,3
,工商联负责人,T010,审核商会财务收支与合规性报告,Ancillary,0.05,0.7,0.75,0.4,4,4,3
,工会负责人,T001,组织动员职工参与集体协商,Primary,0.12,0.15,0.65,0.85,2,4,4
,工会负责人,T002,开展劳动权益维护与法律援助,Primary,0.12,0.2,0.7,0.8,2,4,4
,工会负责人,T003,制定工会战略发展规划,Primary,0.12,0.3,0.6,0.7,2,3,4
,工会负责人,T004,协调多方利益冲突与纠纷,Primary,0.12,0.1,0.55,0.9,1,3,5
,工会负责人,T005,调研分析职工诉求与满意度,Primary,0.12,0.4,0.8,0.6,3,4,3
,工会负责人,T006,管理工会日常行政与财务事务,Secondary,0.1,0.85,0.9,0.15,4,5,2
,工会负责人,T007,撰写政策建议与工作报告,Secondary,0.1,0.75,0.85,0.25,4,4,2
,工会负责人,T008,维护工会档案与会员信息库,Secondary,0.1,0.9,0.8,0.1,5,4,1
,工会负责人,T009,参与工会会议记录与流程归档,Ancillary,0.05,0.95,0.95,0.05,5,5,1
,工会负责人,T010,执行工会内部纪律审查程序,Ancillary,0.05,0.6,0.4,0.4,3,3,3
,共青团负责人,T001,设计青年思想政治教育活动方案,Primary,0.12,0.35,0.75,0.65,2,4,4
,共青团负责人,T002,组织策划并执行青年主题实践活动,Primary,0.12,0.2,0.8,0.7,2,4,4
,共青团负责人,T003,开展青年群体思想动态调研与分析,Primary,0.12,0.4,0.7,0.6,3,4,3
,共青团负责人,T004,实施团队内部管理与成员激励工作,Primary,0.12,0.15,0.65,0.8,2,4,4
,共青团负责人,T005,撰写青年工作宣传报道与政策文件,Primary,0.12,0.6,0.9,0.5,3,5,3
,共青团负责人,T006,协调多方资源解决青年实际困难,Secondary,0.1,0.25,0.55,0.75,2,3,4
,共青团负责人,T007,维护青年组织内部沟通渠道,Secondary,0.1,0.3,0.6,0.7,2,3,4
,共青团负责人,T008,评估青年工作项目成效与反馈,Secondary,0.1,0.45,0.7,0.55,3,4,3
,共青团负责人,T009,整理归档青年工作基础档案资料,Ancillary,0.05,0.85,0.95,0.2,4,5,2
,共青团负责人,T010,维护组织日常行政运行秩序,Ancillary,0.05,0.7,0.8,0.3,4,4,2
,妇联负责人,T001,组织妇女权益保障政策宣讲活动,Primary,0.12,0.35,0.75,0.65,2,4,4
,妇联负责人,T002,开展妇女儿童生存状况实地调研,Primary,0.12,0.2,0.6,0.8,2,3,4
,妇联负责人,T003,协调多方资源解决家庭纠纷案例,Primary,0.12,0.15,0.5,0.85,2,3,4
,妇联负责人,T004,制定区域性别平等发展策略规划,Primary,0.12,0.4,0.7,0.6,3,4,3
,妇联负责人,T005,撰写妇女儿童权益保障政策建议报告,Primary,0.12,0.55,0.85,0.45,3,4,3
,妇联负责人,T006,动员社区志愿者参与公益服务项目,Secondary,0.1,0.25,0.55,0.75,2,3,4
,妇联负责人,T007,维护与政府部门的常态化沟通机制,Secondary,0.1,0.3,0.6,0.7,2,3,4
,妇联负责人,T008,管理妇联组织内部行政档案,Secondary,0.1,0.7,0.8,0.3,4,4,2
,妇联负责人,T009,处理突发公共舆情危机事件,Ancillary,0.05,0.2,0.65,0.8,2,4,4
,妇联负责人,T010,执行日常办公文档流转与归档,Ancillary,0.05,0.85,0.9,0.2,4,5,2
,其他人民团体和群众团体负责人,T001,制定团体战略规划与年度工作计划,Primary,0.12,0.15,0.75,0.85,2,4,4
,其他人民团体和群众团体负责人,T002,组织策划大型群众性活动与会议,Primary,0.12,0.2,0.8,0.8,2,4,4
,其他人民团体和群众团体负责人,T003,维护核心会员关系与处理复杂诉求,Primary,0.12,0.1,0.4,0.9,1,3,5
,其他人民团体和群众团体负责人,T004,解读政策法规并指导团体合规运营,Primary,0.12,0.3,0.85,0.7,2,4,4
,其他人民团体和群众团体负责人,T005,协调外部利益相关方与建立战略合作,Primary,0.12,0.15,0.5,0.85,2,3,4
,其他人民团体和群众团体负责人,T006,管理团体日常行政事务与财务流程,Secondary,0.06,0.65,0.9,0.35,4,5,2
,其他人民团体和群众团体负责人,T007,撰写常规工作报告与宣传材料,Secondary,0.06,0.7,0.95,0.3,4,5,2
,其他人民团体和群众团体负责人,T008,处理会员档案数据与基础咨询回复,Secondary,0.06,0.8,0.85,0.2,4,4,2
,其他人民团体和群众团体负责人,T009,维护办公环境与基础物资采购,Ancillary,0.05,0.75,0.6,0.25,4,3,2
,其他人民团体和群众团体负责人,T010,整理归档会议记录与历史文档,Ancillary,0.05,0.85,0.7,0.15,4,4,2
,社会团体负责人,T001,制定社团发展战略与年度规划,Primary,0.12,0.15,0.75,0.85,2,4,4
,社会团体负责人,T002,主持会员大会与理事会决策会议,Primary,0.12,0.1,0.6,0.9,1,3,5
,社会团体负责人,T003,签署具有法律效力的社团文件,Primary,0.12,0.05,0.8,0.95,1,4,5
,社会团体负责人,T004,协调内部人事关系与团队冲突,Primary,0.12,0.08,0.55,0.92,1,3,5
,社会团体负责人,T005,维护外部公共关系与利益相关者网络,Primary,0.12,0.1,0.65,0.88,1,4,5
,社会团体负责人,T006,审核社团财务预算与执行报告,Secondary,0.1,0.6,0.9,0.4,3,5,3
,社会团体负责人,T007,撰写社团新闻稿与对外公告,Secondary,0.1,0.7,0.95,0.3,4,5,2
,社会团体负责人,T008,整理会议记录与归档社团档案,Secondary,0.1,0.85,0.9,0.15,4,5,2
,社会团体负责人,T009,组织社团日常行政事务与后勤支持,Ancillary,0.05,0.75,0.85,0.2,4,4,2
,社会团体负责人,T010,更新社团成员数据库与联络信息,Ancillary,0.05,0.9,0.95,0.1,5,5,1
,民办非企业单位负责人,T001,制定非营利组织战略规划与年度运营计划,Primary,0.12,0.3,0.75,0.8,2,4,4
,民办非企业单位负责人,T002,构建并维护捐赠人、政府及社区利益相关者信任关系,Primary,0.12,0.1,0.4,0.9,1,3,5
,民办非企业单位负责人,T003,执行多元化资源筹集活动与财务合规管理,Primary,0.12,0.45,0.85,0.7,3,4,4
,民办非企业单位负责人,T004,领导团队实施社会服务项目并监控执行质量,Primary,0.12,0.2,0.65,0.85,2,4,4
,民办非企业单位负责人,T005,设计组织治理结构并应对突发公共危机,Primary,0.12,0.15,0.5,0.95,2,3,5
,民办非企业单位负责人,T006,撰写项目报告与政策倡导建议书,Secondary,0.1,0.7,0.9,0.6,4,5,3
,民办非企业单位负责人,T007,维护组织内部知识库与档案管理系统,Secondary,0.1,0.85,0.8,0.4,4,4,3
,民办非企业单位负责人,T008,组织内部员工培训与文化建设活动,Secondary,0.1,0.35,0.6,0.75,2,3,4
,民办非企业单位负责人,T009,处理日常行政事务与会议记录整理,Ancillary,0.05,0.9,0.85,0.3,5,4,2
,民办非企业单位负责人,T010,审核外部合作机构资质与合同合规性,Ancillary,0.05,0.6,0.7,0.5,3,4,3
,社会中介组织负责人,T001,制定组织发展战略与年度运营计划,Primary,0.12,0.15,0.75,0.85,2,4,4
,社会中介组织负责人,T002,构建与维护关键利益相关者信任关系,Primary,0.12,0.1,0.4,0.9,1,3,5
,社会中介组织负责人,T003,执行团队管理与绩效评估流程,Primary,0.12,0.2,0.65,0.8,2,4,4
,社会中介组织负责人,T004,拓展市场渠道并开发潜在服务对象,Primary,0.12,0.3,0.7,0.75,2,4,4
,社会中介组织负责人,T005,确保组织运营符合法律法规与伦理规范,Primary,0.12,0.25,0.8,0.75,2,4,4
,社会中介组织负责人,T006,处理突发公共危机与组织声誉风险,Secondary,0.1,0.15,0.5,0.85,2,3,4
,社会中介组织负责人,T007,组织内部会议与多方协调沟通,Secondary,0.1,0.35,0.6,0.7,2,3,4
,社会中介组织负责人,T008,编制财务预算与资源分配报告,Secondary,0.1,0.6,0.9,0.4,3,5,3
,社会中介组织负责人,T009,维护组织档案与行政文档管理,Ancillary,0.05,0.85,0.95,0.2,4,5,2
,社会中介组织负责人,T010,执行日常行政事务与后勤协调,Ancillary,0.05,0.8,0.9,0.25,4,5,2
,基金会负责人,T001,制定组织战略发展规划,Primary,0.12,0.15,0.75,0.85,2,4,4
,基金会负责人,T002,构建外部利益相关者信任网络,Primary,0.12,0.1,0.4,0.9,1,3,5
,基金会负责人,T003,执行财务合规性审计与报告,Primary,0.12,0.85,0.95,0.3,4,5,2
,基金会负责人,T004,主导核心资源动员与捐赠谈判,Primary,0.12,0.2,0.65,0.8,2,4,4
,基金会负责人,T005,统筹项目全生命周期管理,Primary,0.12,0.35,0.8,0.65,2,4,4
,基金会负责人,T006,解读公益慈善法律法规,Secondary,0.1,0.7,0.85,0.4,4,4,3
,基金会负责人,T007,协调内部团队与外部合作伙伴,Secondary,0.1,0.25,0.55,0.75,2,3,4
,基金会负责人,T008,撰写年度公益影响力报告,Secondary,0.1,0.6,0.9,0.5,3,5,3
,基金会负责人,T009,维护组织公共形象与声誉,Ancillary,0.05,0.15,0.5,0.85,2,3,4
,基金会负责人,T010,归档基础行政文档,Ancillary,0.05,0.95,0.9,0.1,5,5,1
,宗教组织负责人,T001,主持宗教仪式与庆典活动,Primary,0.12,0.15,0.4,0.85,2,3,4
,宗教组织负责人,T002,阐释宗教教义与解答信众疑问,Primary,0.12,0.3,0.75,0.7,2,4,4
,宗教组织负责人,T003,制定组织发展战略与年度计划,Primary,0.12,0.45,0.65,0.55,3,4,3
,宗教组织负责人,T004,协调内部事务与资源分配,Primary,0.12,0.5,0.8,0.5,3,4,3
,宗教组织负责人,T005,调解信众纠纷与提供心理支持,Primary,0.12,0.1,0.35,0.9,1,2,5
,宗教组织负责人,T006,审核宗教法规合规性与文档管理,Secondary,0.1,0.6,0.7,0.4,3,4,3
,宗教组织负责人,T007,开展对外公共关系与社区联络,Secondary,0.1,0.25,0.6,0.75,2,3,4
,宗教组织负责人,T008,维护宗教场所设施与安全管理,Secondary,0.1,0.4,0.5,0.6,3,3,3
,宗教组织负责人,T009,记录组织财务与行政档案,Ancillary,0.05,0.85,0.9,0.15,4,5,2
,宗教组织负责人,T010,整理宗教文献与知识库维护,Ancillary,0.05,0.75,0.85,0.25,4,4,2
,居民委员会负责人,T001,组织社区公共活动,Primary,0.12,0.15,0.75,0.8,2,4,4
,居民委员会负责人,T002,调解居民矛盾纠纷,Primary,0.12,0.1,0.4,0.9,1,3,5
,居民委员会负责人,T003,宣传基层政策法规,Primary,0.12,0.65,0.85,0.5,4,4,3
,居民委员会负责人,T004,管理社区日常事务,Primary,0.12,0.45,0.7,0.6,3,4,3
,居民委员会负责人,T005,服务特殊困难群体,Primary,0.12,0.05,0.3,0.95,1,2,5
,居民委员会负责人,T006,采集居民基础信息,Secondary,0.1,0.8,0.9,0.3,4,5,2
,居民委员会负责人,T007,撰写社区工作简报,Secondary,0.1,0.7,0.8,0.4,4,4,3
,居民委员会负责人,T008,维护社区公共秩序,Secondary,0.1,0.35,0.55,0.65,2,3,4
,居民委员会负责人,T009,归档社区档案资料,Ancillary,0.05,0.9,0.85,0.2,5,4,2
,居民委员会负责人,T010,协调外部行政资源,Ancillary,0.05,0.2,0.6,0.8,2,3,4
,村民委员会负责人,T001,组织村民会议并传达上级政策,Primary,0.12,0.15,0.85,0.9,2,4,5
,村民委员会负责人,T002,调解村民间土地与邻里纠纷,Primary,0.12,0.1,0.4,0.95,1,3,5
,村民委员会负责人,T003,规划并执行村级公共工程项目,Primary,0.12,0.3,0.7,0.8,2,4,4
,村民委员会负责人,T004,制定村级年度发展规划与预算,Primary,0.12,0.4,0.75,0.85,3,4,4
,村民委员会负责人,T005,动员村民参与集体生产活动,Primary,0.12,0.05,0.3,0.95,1,2,5
,村民委员会负责人,T006,整理归档村级行政文书与档案,Secondary,0.1,0.85,0.9,0.4,4,5,3
,村民委员会负责人,T007,采集并上报农业生产统计数据,Secondary,0.1,0.7,0.8,0.5,4,4,3
,村民委员会负责人,T008,协助处理村民日常行政咨询,Secondary,0.1,0.6,0.7,0.6,3,4,3
,村民委员会负责人,T009,维护村容村貌与环境卫生巡查,Ancillary,0.05,0.4,0.5,0.6,3,3,3
,村民委员会负责人,T010,保管村级集体资产与财务凭证,Ancillary,0.05,0.75,0.6,0.4,4,3,3
,企业董事,T001,制定企业长期战略规划,Primary,0.12,0.25,0.75,0.8,2,4,4
,企业董事,T002,审批重大财务预算与决算,Primary,0.12,0.3,0.85,0.7,2,4,4
,企业董事,T003,任免关键高级管理人员,Primary,0.12,0.15,0.4,0.85,2,3,4
,企业董事,T004,监督公司合规与治理流程,Primary,0.12,0.4,0.7,0.6,3,4,3
,企业董事,T005,向股东汇报经营绩效,Primary,0.12,0.35,0.65,0.75,2,4,4
,企业董事,T006,分析行业竞争格局,Secondary,0.1,0.6,0.9,0.5,3,5,3
,企业董事,T007,评估董事会成员绩效,Secondary,0.1,0.2,0.5,0.8,2,3,4
,企业董事,T008,维护投资者关系网络,Secondary,0.1,0.1,0.3,0.9,1,2,5
,企业董事,T009,审阅内部审计报告,Ancillary,0.05,0.55,0.8,0.45,3,4,3
,企业董事,T010,签署法定治理文件,Ancillary,0.05,0.1,0.2,0.9,1,2,5
