occupation_code,occupation_name,isco08_code,major_category,substitutivity_01,augmentation_01,complementarity_01,substitutivity_5,augmentation_5,complementarity_5,exposure_index_rho,agentic_potential,cognitive_requirement,physicality_intensity,language_intensity
1-06-01-02,企业经理,1211,1,0.386,0.679,0.659,3,4,4,0.386,0,85,10,75
1-06-01-03,国有企业中国共产党组织负责人,1349,1,0.3221,0.6565,0.6465,2,4,4,0.3221,0,85,20,80
1-06-02-00,事业单位负责人,1312,1,0.2755,0.642,0.702,2,4,4,0.2755,0,85,20,75
2-01-01-00,哲学研究人员,2421,2,0.365,0.685,0.64,2,4,4,0.365,0,92,10,95
2-01-02-00,经济学研究人员,2421,2,0.4725,0.691,0.607,3,4,3,0.4725,0,85,10,75
2-01-03-00,法学研究人员,2421,2,0.374,0.7205,0.626,2,4,4,0.374,0,92,10,95
2-01-04-01,教育学研究人员,2421,2,0.413,0.675,0.6965,3,4,4,0.413,0,85,10,80
2-01-04-02,心理学研究人员,2422,2,0.446,0.6885,0.6365,3,4,4,0.446,0,85,20,75
2-01-04-03,体育学研究人员,2424,2,0.5205,0.7085,0.6355,3,4,4,0.5205,0,82,25,75
2-01-05-00,历史学研究人员,2421,2,0.335,0.705,0.784,2,4,4,0.335,0,85,10,80
2-01-06-01,数学研究人员,2121,2,0.4195,0.7075,0.5805,3,4,3,0.4195,0,92,10,75
2-01-06-02,物理科学研究人员,2111,2,0.413,0.6955,0.664,3,4,4,0.413,0,92,25,75
2-01-06-03,化学研究人员,2141,2,0.3815,0.671,0.6475,3,4,4,0.3815,0,85,30,65
2-01-06-04,天文学研究人员,2111,2,0.441,0.7615,0.725,3,4,4,0.441,0,92,25,75
2-01-06-05,生物学研究人员,2131,2,0.3795,0.661,0.7025,3,4,4,0.3795,0,85,20,75
2-01-06-06,地球科学研究人员,2141,2,0.4225,0.665,0.663,3,4,4,0.4225,0,85,40,65
2-01-07-00,农业科学研究人员,2122,2,0.379,0.736,0.734,3,4,4,0.379,0,85,25,75
2-01-08-00,医学研究人员,2141,2,0.3745,0.676,0.702,2,4,4,0.3745,0,85,25,75
2-01-09-00,管理学研究人员,2424,2,0.4015,0.7015,0.5985,3,4,3,0.4015,0,85,10,80
2-01-10-00,文学、艺术学研究人员,2421,2,0.4615,0.7165,0.6525,3,4,4,0.4615,0,85,10,90
2-01-11-00,军事学研究人员,2421,2,0.484,0.74,0.664,3,4,4,0.484,0,85,20,75
2-02-01-01,地质实验测试工程技术人员,2142,2,0.38,0.6995,0.68,3,4,4,0.38,0,75,30,65
2-02-01-02,地球物理地球化学与遥感勘查工程技术人员,2142,2,0.476,0.707,0.743,3,4,4,0.476,0,78,45,65
2-02-01-03,水工环地质工程技术人员,2142,2,0.4245,0.6865,0.7455,3,4,4,0.4245,0,75,30,65
2-02-01-04,地质矿产调查工程技术人员,2142,2,0.4685,0.717,0.655,3,4,4,0.4685,0,75,40,65
2-02-01-05,钻探工程技术人员,2142,2,0.3515,0.692,0.686,2,4,4,0.3515,0,75,40,60
2-02-02-01,大地测量工程技术人员,2126,2,0.4005,0.685,0.655,3,4,4,0.4005,0,75,40,65
2-02-02-02,工程测量工程技术人员,2142,2,0.3825,0.633,0.5875,3,4,3,0.3825,0,72,45,60
2-02-02-03,摄影测量与遥感工程技术人员,2142,2,0.326,0.663,0.674,2,4,4,0.326,0,75,30,65
2-02-02-04,地图制图工程技术人员,2142,2,0.379,0.681,0.621,3,4,3,0.379,0,72,25,65
2-02-02-05,海洋测绘工程技术人员,2142,2,0.353,0.674,0.7425,2,4,4,0.353,0,75,40,65
2-02-02-06,地理国情监测工程技术人员,2142,2,0.579,0.707,0.706,3,4,4,0.579,0,72,25,65
2-02-02-07,地理信息系统工程技术人员,2512,2,0.4935,0.668,0.5925,3,4,3,0.4935,0,75,10,65
2-02-02-08,导航与位置服务工程技术人员,2149,2,0.458,0.708,0.6745,3,4,4,0.458,0,75,20,65
2-02-02-09,地质测绘工程技术人员,2142,2,0.3845,0.7055,0.699,3,4,4,0.3845,0,75,40,60
2-02-03-01,矿井建设工程技术人员,2142,2,0.3525,0.7455,0.715,2,4,4,0.3525,0,75,40,65
2-02-03-02,采矿工程技术人员,2142,2,0.3785,0.7225,0.6625,3,4,4,0.3785,0,75,30,65
2-02-03-03,矿山通风工程技术人员,2142,2,0.316,0.656,0.734,2,4,4,0.316,0,75,40,65
2-02-03-04,选矿与矿物加工工程技术人员,2149,2,0.473,0.751,0.7265,3,4,4,0.473,0,75,30,65
2-02-03-05,矿山环保复垦工程技术人员,2142,2,0.438,0.7085,0.562,3,4,3,0.438,0,72,45,68
2-02-04-01,石油天然气开采工程技术人员,2142,2,0.388,0.733,0.695,3,4,4,0.388,0,85,40,65
2-02-04-02,石油天然气储运工程技术人员,2144,2,0.3805,0.7225,0.724,3,4,4,0.3805,0,75,20,65
2-02-05-01,冶炼工程技术人员,2149,2,0.3725,0.6935,0.7235,2,4,4,0.3725,0,75,40,65
2-02-05-02,轧制工程技术人员,2142,2,0.406,0.694,0.6405,3,4,4,0.406,0,72,25,65
2-02-05-03,焦化工程技术人员,2149,2,0.353,0.717,0.689,2,4,4,0.353,0,78,35,65
2-02-05-04,金属材料工程技术人员,2149,2,0.339,0.688,0.723,2,4,4,0.339,0,75,20,65
2-02-05-05,耐火材料工程技术人员,2149,2,0.2955,0.6625,0.6895,2,4,4,0.2955,0,78,35,65
2-02-05-06,炭素材料工程技术人员,2149,2,0.3435,0.6735,0.709,2,4,4,0.3435,0,82,25,65
2-02-05-07,冶金热能工程技术人员,2142,2,0.277,0.697,0.671,2,4,4,0.277,0,75,30,65
2-02-05-08,铸管工程技术人员,2144,2,0.4345,0.725,0.6425,3,4,4,0.4345,0,75,30,60
2-02-05-09,稀土工程技术人员,2149,2,0.4545,0.7385,0.6375,3,4,4,0.4545,0,85,30,65
2-02-06-01,化工实验工程技术人员,2149,2,0.405,0.6755,0.696,3,4,4,0.405,0,72,35,65
2-02-06-02,化工设计工程技术人员,2142,2,0.319,0.6715,0.711,2,4,4,0.319,0,85,20,65
2-02-06-03,化工生产工程技术人员,2141,2,0.237,0.6545,0.688,2,4,4,0.237,0,75,30,65
2-02-07-01,机械设计工程技术人员,2142,2,0.3845,0.635,0.675,3,4,4,0.3845,0,85,20,65
2-02-07-02,机械制造工程技术人员,2142,2,0.326,0.735,0.6995,2,4,4,0.326,0,75,20,65
2-02-07-03,仪器仪表工程技术人员,2149,2,0.3855,0.665,0.71,3,4,4,0.3855,0,75,30,65
2-02-07-04,设备工程技术人员,2149,2,0.3425,0.718,0.6175,2,4,3,0.3425,0,72,35,65
2-02-07-05,医学设备管理工程技术人员,2149,2,0.4955,0.734,0.6825,3,4,4,0.4955,0,65,30,70
2-02-07-06,模具设计工程技术人员,2144,2,0.3675,0.716,0.6375,2,4,4,0.3675,0,75,20,65
2-02-07-07,自动控制工程技术人员,2149,2,0.3865,0.757,0.6135,3,4,3,0.3865,0,85,25,60
2-02-07-08,材料成形与改性工程技术人员,2149,2,0.418,0.732,0.665,3,4,4,0.418,0,75,25,60
2-02-07-09,焊接工程技术人员,2142,2,0.4165,0.7195,0.6,3,4,3,0.4165,0,72,25,65
2-02-07-10,特种设备管理和应用工程技术人员,2149,2,0.3735,0.6395,0.6935,2,4,4,0.3735,0,75,30,65
2-02-07-11,汽车工程技术人员,2144,2,0.5255,0.7045,0.696,3,4,4,0.5255,0,85,25,60
2-02-07-12,船舶工程技术人员,2144,2,0.3475,0.694,0.655,2,4,4,0.3475,0,85,30,65
2-02-07-13,铸造工程技术人员,2142,2,0.3955,0.7325,0.661,3,4,4,0.3955,0,75,40,60
2-02-08-01,飞行器设计工程技术人员,2149,2,0.4445,0.682,0.6085,3,4,3,0.4445,0,85,20,65
2-02-08-02,飞行器制造工程技术人员,2144,2,0.3815,0.724,0.657,3,4,4,0.3815,0,75,20,65
2-02-08-03,航空动力装置设计工程技术人员,2149,2,0.261,0.7015,0.716,2,4,4,0.261,0,92,25,65
2-02-08-04,航空动力装置制造工程技术人员,2144,2,0.2925,0.758,0.729,2,4,4,0.2925,0,85,25,60
2-02-08-05,航空产品试验与飞行试验工程技术人员,2149,2,0.3445,0.721,0.651,2,4,4,0.3445,0,85,25,65
2-02-08-06,航空产品适航工程技术人员,2149,2,0.4465,0.6995,0.6235,3,4,3,0.4465,0,85,10,75
2-02-08-07,航空产品支援工程技术人员,2149,2,0.48,0.6935,0.669,3,4,4,0.48,0,75,20,65
2-02-08-08,机载设备设计制造工程技术人员,2149,2,0.403,0.643,0.656,3,4,4,0.403,0,85,25,60
2-02-09-01,电子材料工程技术人员,2149,2,0.303,0.712,0.665,2,4,4,0.303,0,85,20,65
2-02-09-02,电子元器件工程技术人员,2149,2,0.409,0.704,0.596,3,4,3,0.409,0,75,20,65
2-02-09-03,雷达导航工程技术人员,2149,2,0.3585,0.688,0.6475,2,4,4,0.3585,0,85,30,60
2-02-09-04,电子仪器与电子测量工程技术人员,2149,2,0.295,0.7135,0.705,2,4,4,0.295,0,78,25,65
2-02-09-05,广播视听设备工程技术人员,2149,2,0.237,0.6735,0.715,2,4,4,0.237,0,72,35,65
2-02-10-02,计算机硬件工程技术人员,2512,2,0.475,0.72,0.6485,3,4,4,0.475,0,85,20,65
2-02-10-03,计算机软件工程技术人员,2512,2,0.44,0.7505,0.625,3,4,4,0.44,1,85,10,75
2-02-10-04,计算机网络工程技术人员,2523,2,0.4615,0.746,0.6035,3,4,3,0.4615,0,75,20,65
2-02-10-05,信息系统分析工程技术人员,2511,2,0.434,0.743,0.6115,3,4,3,0.434,0,75,10,70
2-02-10-06,嵌入式系统设计工程技术人员,2512,2,0.2985,0.6695,0.7015,2,4,4,0.2985,0,85,20,65
2-02-10-07,信息安全工程技术人员,2529,2,0.4175,0.7435,0.585,3,4,3,0.4175,0,85,20,65
2-02-10-08,信息系统运行维护工程技术人员,2522,2,0.443,0.648,0.6425,3,4,4,0.443,0,75,20,65
2-02-11-01,电工电器工程技术人员,2141,2,0.3955,0.739,0.685,3,4,4,0.3955,0,75,20,65
2-02-11-02,电缆光缆工程技术人员,2142,2,0.369,0.7065,0.631,2,4,4,0.369,0,72,25,65
2-02-11-03,光源与照明工程技术人员,2142,2,0.265,0.66,0.695,2,4,4,0.265,0,75,20,65
2-02-12-01,发电工程技术人员,2149,2,0.4515,0.7105,0.5485,3,4,3,0.4515,0,75,20,65
2-02-12-02,供用电工程技术人员,2149,2,0.301,0.726,0.699,2,4,4,0.301,0,75,20,65
2-02-12-03,变电工程技术人员,2141,2,0.3825,0.725,0.678,3,4,4,0.3825,0,75,40,65
2-02-12-04,输电工程技术人员,2142,2,0.32,0.718,0.68,2,4,4,0.32,0,78,45,65
2-02-12-05,电力工程安装工程技术人员,2141,2,0.3915,0.7115,0.6615,3,4,4,0.3915,0,72,45,68
2-02-13-01,邮政工程技术人员,2142,2,0.365,0.703,0.635,2,4,4,0.365,0,75,20,65
2-02-13-02,快递工程技术人员,2149,2,0.402,0.71,0.598,3,4,3,0.402,0,75,20,65
2-02-14-01,广播电视制播工程技术人员,2144,2,0.3205,0.637,0.6795,2,4,4,0.3205,0,75,30,60
2-02-14-02,广播电视传输覆盖工程技术人员,2142,2,0.3975,0.722,0.6505,3,4,4,0.3975,0,72,35,65
2-02-14-03,电影工程技术人员,2149,2,0.3215,0.6745,0.725,2,4,4,0.3215,0,75,40,60
2-02-14-04,演艺设备工程技术人员,2149,2,0.3815,0.6785,0.653,3,4,4,0.3815,0,75,40,65
2-02-15-01,汽车运用工程技术人员,2149,2,0.4605,0.6665,0.805,3,4,4,0.4605,0,75,30,65
2-02-15-02,船舶运用工程技术人员,2142,2,0.4485,0.736,0.6565,3,4,4,0.4485,0,75,40,65
2-02-15-03,水上交通工程技术人员,2143,2,0.494,0.731,0.506,3,4,3,0.494,0,72,25,68
2-02-15-04,水上救助打捞工程技术人员,2142,2,0.3685,0.7315,0.679,2,4,4,0.3685,0,75,80,60
2-02-15-05,船舶检验工程技术人员,2141,2,0.3705,0.7005,0.6295,2,4,4,0.3705,0,75,30,65
2-02-15-06,无线电航标操作与维护工程技术人员,2149,2,0.4345,0.7395,0.5875,3,4,3,0.4345,0,72,45,65
2-02-15-07,视觉航标工程技术人员,2142,2,0.4865,0.726,0.5135,3,4,3,0.4865,0,65,45,60
2-02-15-08,道路交通工程技术人员,2142,2,0.302,0.677,0.72,2,4,4,0.302,0,75,20,65
2-02-15-09,公路养护工程技术人员,2142,2,0.3515,0.6855,0.6485,2,4,4,0.3515,0,72,45,68
2-02-16-01,民用航空器维修与适航工程技术人员,2144,2,0.3525,0.6285,0.6575,2,4,4,0.3525,0,85,40,65
2-02-16-02,民航空中交通管理工程技术人员,2141,2,0.4405,0.7655,0.7486,3,4,4,0.4405,0,92,10,75
2-02-16-03,民航通用航空工程技术人员,2149,2,0.349,0.7265,0.7025,2,4,4,0.349,0,75,30,65
2-02-16-04,民航飞行签派工程技术人员,2141,2,0.4165,0.736,0.5835,3,4,3,0.4165,0,85,10,75
2-02-17-01,铁道运输工程技术人员,2141,2,0.394,0.727,0.725,3,4,4,0.394,0,78,25,65
2-02-17-02,铁道机务工程技术人员,2142,2,0.4825,0.695,0.6655,3,4,4,0.4825,0,75,30,65
2-02-17-03,铁道车辆工程技术人员,2142,2,0.2795,0.6755,0.7445,2,4,4,0.2795,0,75,30,65
2-02-17-04,铁道电务工程技术人员,2143,2,0.369,0.671,0.682,2,4,4,0.369,0,75,30,65
2-02-17-05,铁道供电工程技术人员,2141,2,0.4105,0.7545,0.5895,3,4,3,0.4105,0,75,40,65
2-02-17-06,铁道工务工程技术人员,2142,2,0.4915,0.7115,0.669,3,4,4,0.4915,0,75,40,65
2-02-18-01,建筑和市政设计工程技术人员,2141,2,0.365,0.636,0.698,2,4,4,0.365,0,85,20,75
2-02-18-02,土木建筑工程技术人员,2142,2,0.344,0.717,0.7105,2,4,4,0.344,0,72,25,68
2-02-18-03,风景园林工程技术人员,2142,2,0.3445,0.602,0.6405,2,3,4,0.3445,0,75,30,65
2-02-18-04,供水排水工程技术人员,2144,2,0.3425,0.708,0.693,2,4,4,0.3425,0,75,30,65
2-02-18-05,工程勘察与岩土工程技术人员,2142,2,0.4145,0.7155,0.6865,3,4,4,0.4145,0,85,40,65
2-02-18-06,城镇燃气与供热工程技术人员,2144,2,0.3625,0.7255,0.653,2,4,4,0.3625,0,72,25,65
2-02-18-07,环境卫生工程技术人员,2142,2,0.4035,0.702,0.75,3,4,4,0.4035,0,72,25,68
2-02-18-08,道路与桥隧工程技术人员,2142,2,0.348,0.6975,0.655,2,4,4,0.348,0,75,30,65
2-02-18-09,港口与航道工程技术人员,2142,2,0.3755,0.648,0.6245,3,4,3,0.3755,0,75,30,65
2-02-18-10,民航机场工程技术人员,2142,2,0.3125,0.6445,0.6575,2,4,4,0.3125,0,75,25,65
2-02-18-11,铁路建筑工程技术人员,2142,2,0.3965,0.8005,0.6185,3,4,3,0.3965,0,75,30,65
2-02-18-12,水利水电建筑工程技术人员,2142,2,0.373,0.72,0.627,2,4,4,0.373,0,85,40,75
2-02-18-13,爆破工程技术人员,2149,2,0.3865,0.7085,0.682,3,4,4,0.3865,0,75,40,65
2-02-19-01,硅酸盐工程技术人员,2142,2,0.4385,0.734,0.7055,3,4,4,0.4385,0,75,25,65
2-02-19-02,非金属矿及制品工程技术人员,2142,2,0.4395,0.6965,0.63,3,4,4,0.4395,0,72,35,65
2-02-19-03,无机非金属材料工程技术人员,2149,2,0.425,0.7565,0.658,3,4,4,0.425,0,75,25,65
2-02-19-04,混凝土工程技术人员,2143,2,0.388,0.6325,0.698,3,4,4,0.388,0,75,30,65
2-02-20-01,防沙治沙工程技术人员,2142,2,0.379,0.7455,0.621,3,4,3,0.379,0,75,40,65
2-02-20-02,森林培育工程技术人员,2141,2,0.334,0.6595,0.684,2,4,4,0.334,0,72,45,68
2-02-20-03,园林绿化工程技术人员,2144,2,0.4155,0.691,0.5725,3,4,3,0.4155,0,72,35,65
2-02-20-04,野生动植物保护利用工程技术人员,2149,2,0.5045,0.722,0.6905,3,4,4,0.5045,0,75,40,65
2-02-20-05,自然保护区工程技术人员,2142,2,0.31,0.6295,0.7335,2,4,4,0.31,0,72,45,68
2-02-20-06,森林保护工程技术人员,2149,2,0.441,0.607,0.702,3,3,4,0.441,0,72,45,65
2-02-20-07,木竹藤棕草加工工程技术人员,2144,2,0.3915,0.711,0.6945,3,4,4,0.3915,0,68,25,65
2-02-20-08,森林采伐和运输工程技术人员,2142,2,0.459,0.714,0.661,3,4,4,0.459,0,72,25,65
2-02-20-09,经济林产品加工工程技术人员,2149,2,0.4315,0.762,0.5805,3,4,3,0.4315,0,72,25,65
2-02-20-10,林业资源调查与监测工程技术人员,2141,2,0.461,0.7355,0.681,3,4,4,0.461,0,75,40,65
2-02-20-11,园林植物保护工程技术人员,2149,2,0.338,0.632,0.647,2,4,4,0.338,0,72,45,65
2-02-20-12,湿地保护修复工程技术人员,2142,2,0.3865,0.7035,0.746,3,4,4,0.3865,0,75,40,65
2-02-21-01,水文水资源工程技术人员,2142,2,0.4375,0.6425,0.753,3,4,4,0.4375,0,75,30,65
2-02-21-02,水生态和河湖治理管护工程技术人员,2142,2,0.4615,0.662,0.637,3,4,4,0.4615,0,72,35,68
2-02-21-03,水利工程管理工程技术人员,2142,2,0.4065,0.711,0.686,3,4,4,0.4065,0,72,35,68
2-02-21-04,防汛抗旱减灾工程技术人员,2142,2,0.3855,0.7195,0.7235,3,4,4,0.3855,0,75,40,65
2-02-21-05,节水工程技术人员,2144,2,0.43,0.7665,0.7225,3,4,4,0.43,0,72,25,68
2-02-22-01,海洋调查与监测工程技术人员,2149,2,0.455,0.726,0.697,3,4,4,0.455,0,75,45,60
2-02-22-02,海洋环境预报工程技术人员,2149,2,0.3905,0.722,0.6095,3,4,3,0.3905,0,85,25,65
2-02-22-03,海洋资源开发利用和保护工程技术人员,2144,2,0.3755,0.678,0.6095,3,4,3,0.3755,0,85,30,75
2-02-22-04,海洋工程勘察设计工程技术人员,2142,2,0.405,0.6695,0.595,3,4,3,0.405,0,85,30,65
2-02-22-05,海水淡化工程技术人员,2144,2,0.363,0.7575,0.6775,2,4,4,0.363,0,78,25,65
2-02-22-06,深潜工程技术人员,2144,2,0.306,0.706,0.694,2,4,4,0.306,0,85,40,60
2-02-23-01,纺织工程技术人员,2144,2,0.365,0.698,0.7105,2,4,4,0.365,0,72,25,65
2-02-23-02,染整工程技术人员,2142,2,0.401,0.681,0.639,3,4,4,0.401,0,75,30,65
2-02-23-03,化学纤维工程技术人员,2142,2,0.2485,0.732,0.698,2,4,4,0.2485,0,75,30,65
2-02-23-04,非织造工程技术人员,2142,2,0.403,0.7545,0.7085,3,4,4,0.403,0,72,25,65
2-02-23-05,服装工程技术人员,2149,2,0.3775,0.698,0.6225,3,4,3,0.3775,0,72,25,65
2-02-24-00,食品工程技术人员,2149,2,0.3865,0.735,0.6635,3,4,4,0.3865,0,75,20,65
2-02-25-01,气象观测工程技术人员,2149,2,0.5055,0.632,0.5005,3,4,3,0.5055,0,72,35,65
2-02-25-02,天气预报工程技术人员,2149,2,0.3615,0.688,0.611,2,4,3,0.3615,0,85,20,75
2-02-25-03,气候监测预测工程技术人员,2149,2,0.4915,0.699,0.728,3,4,4,0.4915,0,85,20,65
2-02-25-04,气象服务工程技术人员,2149,2,0.438,0.6635,0.693,3,4,4,0.438,0,75,20,70
2-02-25-05,人工影响天气工程技术人员,2149,2,0.318,0.6985,0.715,2,4,4,0.318,0,85,40,65
2-02-25-06,防雷工程技术人员,2149,2,0.3705,0.6805,0.6295,2,4,4,0.3705,0,75,40,65
2-02-26-01,地震监测预测工程技术人员,2149,2,0.338,0.71,0.739,2,4,4,0.338,0,85,20,65
2-02-26-02,地震应急救援工程技术人员,2149,2,0.394,0.7365,0.6,3,4,3,0.394,0,85,70,60
2-02-26-03,地震安全性评价工程技术人员,2142,2,0.338,0.608,0.658,2,3,4,0.338,0,85,30,65
2-02-27-01,环境监测工程技术人员,2149,2,0.342,0.623,0.6975,2,3,4,0.342,0,72,35,65
2-02-27-02,环境污染防治工程技术人员,2142,2,0.4375,0.7315,0.7035,3,4,4,0.4375,0,75,30,65
2-02-27-03,环境影响评价工程技术人员,2149,2,0.376,0.723,0.711,3,4,4,0.376,0,75,20,70
2-02-27-04,核与辐射安全工程技术人员,2149,2,0.324,0.659,0.676,2,4,4,0.324,0,85,30,65
2-02-27-05,核与辐射监测工程技术人员,2149,2,0.3515,0.6435,0.7005,2,4,4,0.3515,0,75,30,65
2-02-27-06,健康安全环境工程技术人员,2149,2,0.3795,0.753,0.646,3,4,4,0.3795,0,72,25,68
2-02-28-01,安全技术防范工程技术人员,2149,2,0.3255,0.661,0.7075,2,4,4,0.3255,0,75,30,65
2-02-28-02,消防工程技术人员,2149,2,0.4265,0.687,0.616,3,4,3,0.4265,0,75,30,65
2-02-28-03,安全生产管理工程技术人员,2149,2,0.3305,0.734,0.6695,2,4,4,0.3305,0,72,25,68
2-02-28-04,安全评价工程技术人员,2149,2,0.4165,0.684,0.6195,3,4,3,0.4165,0,78,25,65
2-02-28-05,房屋安全鉴定工程技术人员,2142,2,0.5105,0.7405,0.581,3,4,3,0.5105,0,75,30,65
2-02-28-06,防伪工程技术人员,2149,2,0.4185,0.7005,0.6515,3,4,4,0.4185,0,75,20,65
2-02-29-01,标准化工程技术人员,2149,2,0.5745,0.605,0.607,3,3,3,0.5745,0,75,10,80
2-02-29-02,计量工程技术人员,2149,2,0.45,0.757,0.7,3,4,4,0.45,0,75,30,65
2-02-29-03,质量管理工程技术人员,2149,2,0.431,0.725,0.619,3,4,3,0.431,0,72,20,65
2-02-29-04,质量认证认可工程技术人员,2149,2,0.5115,0.665,0.4885,3,4,3,0.5115,0,75,20,65
2-02-29-05,可靠性工程技术人员,2149,2,0.2905,0.6865,0.689,2,4,4,0.2905,0,75,20,65
2-02-30-01,工业工程技术人员,2149,2,0.5485,0.7595,0.64,3,4,4,0.5485,0,75,20,65
2-02-30-02,物流工程技术人员,2149,2,0.4565,0.712,0.688,3,4,4,0.4565,0,75,20,65
2-02-30-03,战略规划与管理工程技术人员,2424,2,0.39,0.7525,0.731,3,4,4,0.39,0,85,10,75
2-02-30-04,项目管理工程技术人员,2149,2,0.3915,0.7105,0.6365,3,4,4,0.3915,0,75,10,70
2-02-30-05,再生资源工程技术人员,2142,2,0.3965,0.696,0.7075,3,4,4,0.3965,0,72,25,65
2-02-30-06,能源管理工程技术人员,2149,2,0.393,0.6615,0.649,3,4,4,0.393,0,75,20,65
2-02-30-07,监理工程技术人员,2142,2,0.313,0.6665,0.672,2,4,4,0.313,0,72,35,68
2-02-30-08,信息管理工程技术人员,2511,2,0.448,0.7615,0.728,3,4,4,0.448,0,75,10,65
2-02-30-09,数据分析处理工程技术人员,2511,2,0.426,0.7625,0.574,3,4,3,0.426,1,75,10,65
2-02-30-10,工程造价工程技术人员,2142,2,0.427,0.6885,0.598,3,4,3,0.427,0,75,20,65
2-02-30-11,供应链工程技术人员,2149,2,0.5245,0.7795,0.6035,3,4,3,0.5245,0,75,20,65
2-02-31-01,产品质量检验工程技术人员,2141,2,0.3925,0.6695,0.6015,3,4,3,0.3925,0,65,25,60
2-02-31-02,进出口商品检验鉴定工程技术人员,2149,2,0.5235,0.6845,0.6015,3,4,3,0.5235,0,75,30,70
2-02-31-03,进出境动物和植物检验检疫人员,2149,2,0.3785,0.6615,0.6125,3,4,3,0.3785,0,72,45,68
2-02-31-04,特种设备检验检测工程技术人员,2149,2,0.363,0.7405,0.7035,2,4,4,0.363,0,75,40,65
2-02-31-05,纤维质量检验工程技术人员,2149,2,0.434,0.743,0.689,3,4,4,0.434,0,65,25,70
2-02-31-06,卫生检疫人员,2222,2,0.35,0.7445,0.6915,2,4,4,0.35,0,72,45,68
2-02-32-00,制药工程技术人员,2149,2,0.3915,0.7225,0.684,3,4,4,0.3915,0,75,20,65
2-02-33-00,印刷复制工程技术人员,2143,2,0.4015,0.722,0.5985,3,4,3,0.4015,0,72,25,65
2-02-34-01,产品设计工程技术人员,2149,2,0.4515,0.7055,0.5485,3,4,3,0.4515,0,75,20,65
2-02-34-02,工业设计工程技术人员,2149,2,0.4595,0.611,0.582,3,3,3,0.4595,0,75,20,65
2-02-35-01,矫形器师,2222,2,0.308,0.6495,0.722,2,4,4,0.308,0,75,40,65
2-02-35-02,假肢师,2222,2,0.4535,0.698,0.671,3,4,4,0.4535,0,75,40,65
2-02-35-03,听力师,2222,2,0.407,0.6655,0.598,3,4,3,0.407,0,72,25,68
2-02-36-01,制浆造纸工程技术人员,2142,2,0.3625,0.71,0.61,2,4,3,0.3625,0,75,30,65
2-02-36-02,皮革化学工程技术人员,2149,2,0.315,0.706,0.67,2,4,4,0.315,0,75,20,65
