occupation_code,occupation_name,isco08_code,isco08_title,major_category,task_count,ksa_count,substitutivity_01,augmentation_01,complementarity_01,substitutivity_5,augmentation_5,complementarity_5,exposure_index_rho,agentic_potential,cognitive_requirement,physicality_intensity,language_intensity,connecting_labor_flag,connecting_labor_depth,vibe_coding_flag,vibe_coding_depth,isco08_status
1-03-00-01,民主党派负责人,1120,Policy Administration Professionals,1,10,9,0.3554,0.6775,0.7486,2,4,4,0.3554,0,85,20,80,1,4,0,0,verified
1-03-00-02,工商联负责人,1120,Managing Directors,1,10,9,0.395,0.6955,0.638,3,4,4,0.395,0,85,20,80,1,4,0,0,verified
1-04-01-01,工会负责人,1349,Business Professionals Not Elsewhere Classified,1,10,9,0.4655,0.7185,0.5345,3,4,3,0.4655,0,72,25,78,1,4,0,0,unmatched
1-04-01-02,共青团负责人,1349,Business Services Professionals Not Elsewhere Classified,1,10,9,0.3815,0.7285,0.615,3,4,3,0.3815,0,72,25,78,1,4,0,0,unmatched
1-04-01-03,妇联负责人,1349,Business Services Agents Not Elsewhere Classified,1,10,9,0.3755,0.6805,0.627,3,4,4,0.3755,0,72,20,75,1,4,0,0,unmatched
1-04-01-04,其他人民团体和群众团体负责人,1349,Business Services Agents Not Elsewhere Classified,1,10,9,0.317,0.623,0.563,2,3,3,0.317,0,75,20,80,1,4,0,0,unmatched
1-04-02-00,社会团体负责人,1124,Association Managers,1,10,9,0.3551,0.767,0.64,2,4,4,0.3551,0,75,20,80,1,4,0,0,unmatched
1-04-03-00,民办非企业单位负责人,1349,Business Services Professionals Not Elsewhere Classified,1,10,9,0.409,0.6855,0.719,3,4,4,0.409,0,75,10,80,1,4,0,0,unmatched
1-04-04-00,社会中介组织负责人,1349,Business Services Administrators Not Elsewhere Classified,1,10,9,0.3125,0.6885,0.7035,2,4,4,0.3125,0,75,20,80,1,4,0,0,unmatched
1-04-05-00,基金会负责人,1349,Business Professionals Not Elsewhere Classified,1,10,9,0.408,0.726,0.6325,3,4,4,0.408,0,85,20,75,1,4,0,0,unmatched
1-04-06-00,宗教组织负责人,2422,Religious Workers,2,10,9,0.385,0.6215,0.615,3,3,3,0.385,0,75,20,85,1,4,0,0,verified
1-05-00-01,居民委员会负责人,1349,Business Services Agents Not Elsewhere Classified,1,10,9,0.408,0.6575,0.635,3,4,4,0.408,0,65,25,80,1,4,0,0,unmatched
1-05-00-02,村民委员会负责人,1349,Business Services Agents Not Elsewhere Classified,1,10,9,0.3925,0.655,0.734,3,4,4,0.3925,0,65,25,75,1,4,0,0,unmatched
1-06-01-01,企业董事,1120,Managing Directors and Chief Executives,1,10,9,0.2965,0.622,0.7315,2,3,4,0.2965,0,92,25,85,1,4,0,0,verified
1-06-01-02,企业经理,1211,Managing Directors and Chief Executives,1,10,9,0.386,0.679,0.659,3,4,4,0.386,0,85,10,75,1,4,0,0,verified
1-06-01-03,国有企业中国共产党组织负责人,1349,Business Services Professionals Not Elsewhere Classified,1,10,9,0.3221,0.6565,0.6465,2,4,4,0.3221,0,85,20,80,1,4,0,0,unmatched
1-06-02-00,事业单位负责人,1312,Education Managers,1,10,9,0.2755,0.642,0.702,2,4,4,0.2755,0,85,20,75,1,4,0,0,verified
2-01-01-00,哲学研究人员,2421,"Philosophers, Historians and Political Scientists",2,10,9,0.365,0.685,0.64,2,4,4,0.365,0,92,10,95,1,4,0,0,verified
2-01-02-00,经济学研究人员,2421,Economists,2,10,9,0.4725,0.691,0.607,3,4,3,0.4725,0,85,10,75,1,3,0,0,verified
2-01-03-00,法学研究人员,2421,Lawyers,2,10,9,0.374,0.7205,0.626,2,4,4,0.374,0,92,10,95,1,3,0,0,verified
2-01-04-01,教育学研究人员,2421,Economists,2,10,9,0.413,0.675,0.6965,3,4,4,0.413,0,85,10,80,1,3,0,0,verified
2-01-04-02,心理学研究人员,2422,Psychologists,2,10,9,0.446,0.6885,0.6365,3,4,4,0.446,0,85,20,75,1,4,0,0,verified
2-01-04-03,体育学研究人员,2424,Social Science Professionals,2,10,9,0.5205,0.7085,0.6355,3,4,4,0.5205,0,82,25,75,1,3,0,0,verified
2-01-05-00,历史学研究人员,2421,Historians,2,10,9,0.335,0.705,0.784,2,4,4,0.335,0,85,10,80,1,3,0,0,verified
2-01-06-01,数学研究人员,2121,Mathematicians,2,10,9,0.4195,0.7075,0.5805,3,4,3,0.4195,0,92,10,75,1,3,0,0,unmatched
2-01-06-02,物理科学研究人员,2111,Physicists and Astronomers,2,10,9,0.413,0.6955,0.664,3,4,4,0.413,0,92,25,75,1,3,0,0,verified
2-01-06-03,化学研究人员,2141,Chemists,2,10,9,0.3815,0.671,0.6475,3,4,4,0.3815,0,85,30,65,1,3,0,0,verified
2-01-06-04,天文学研究人员,2111,Physicists and Astronomers,2,10,9,0.441,0.7615,0.725,3,4,4,0.441,0,92,25,75,1,3,0,0,verified
2-01-06-05,生物学研究人员,2131,Biologists and related professionals,2,10,9,0.3795,0.661,0.7025,3,4,4,0.3795,0,85,20,75,1,3,0,0,verified
2-01-06-06,地球科学研究人员,2141,Geologists and geophysicists,2,10,9,0.4225,0.665,0.663,3,4,4,0.4225,0,85,40,65,1,3,0,0,verified
2-01-07-00,农业科学研究人员,2122,Agricultural Professionals,2,10,9,0.379,0.736,0.734,3,4,4,0.379,0,85,25,75,1,3,0,0,unmatched
2-01-08-00,医学研究人员,2141,Biologists and related professionals,2,10,9,0.3745,0.676,0.702,2,4,4,0.3745,0,85,25,75,1,3,0,0,verified
2-01-09-00,管理学研究人员,2424,Business and Administration Professionals,2,10,9,0.4015,0.7015,0.5985,3,4,3,0.4015,0,85,10,80,1,3,0,0,verified
2-01-10-00,文学、艺术学研究人员,2421,Writers and related authors,2,10,9,0.4615,0.7165,0.6525,3,4,4,0.4615,0,85,10,90,1,4,0,0,verified
2-01-11-00,军事学研究人员,2421,Economists,2,10,9,0.484,0.74,0.664,3,4,4,0.484,0,85,20,75,1,3,0,0,verified
2-02-01-01,地质实验测试工程技术人员,2142,Geologists and Geophysicists,2,10,9,0.38,0.6995,0.68,3,4,4,0.38,0,75,30,65,1,2,0,0,verified
2-02-01-02,地球物理地球化学与遥感勘查工程技术人员,2142,Geologists and Geophysicists,2,10,9,0.476,0.707,0.743,3,4,4,0.476,0,78,45,65,1,3,0,0,verified
2-02-01-03,水工环地质工程技术人员,2142,Civil Engineers,2,10,9,0.4245,0.6865,0.7455,3,4,4,0.4245,0,75,30,65,1,3,0,0,verified
2-02-01-04,地质矿产调查工程技术人员,2142,Geologists and Geophysicists,2,10,9,0.4685,0.717,0.655,3,4,4,0.4685,0,75,40,65,1,3,0,0,verified
2-02-01-05,钻探工程技术人员,2142,Mining and quarrying engineers,2,10,9,0.3515,0.692,0.686,2,4,4,0.3515,0,75,40,60,1,3,0,0,verified
2-02-02-01,大地测量工程技术人员,2126,Surveying and Mapping Professionals,2,10,9,0.4005,0.685,0.655,3,4,4,0.4005,0,75,40,65,1,3,0,0,unmatched
2-02-02-02,工程测量工程技术人员,2142,Surveying and Mapping Professionals,2,10,9,0.3825,0.633,0.5875,3,4,3,0.3825,0,72,45,60,1,3,0,0,verified
2-02-02-03,摄影测量与遥感工程技术人员,2142,Cartographers and Photogrammetrists,2,10,9,0.326,0.663,0.674,2,4,4,0.326,0,75,30,65,1,3,0,0,verified
2-02-02-04,地图制图工程技术人员,2142,Cartographers and Photogrammetrists,2,10,9,0.379,0.681,0.621,3,4,3,0.379,0,72,25,65,1,3,0,0,verified
2-02-02-05,海洋测绘工程技术人员,2142,Surveying and Mapping Professionals,2,10,9,0.353,0.674,0.7425,2,4,4,0.353,0,75,40,65,1,3,0,0,verified
2-02-02-06,地理国情监测工程技术人员,2142,Cartographers and Surveyors,2,10,9,0.579,0.707,0.706,3,4,4,0.579,0,72,25,65,1,3,0,0,verified
2-02-02-07,地理信息系统工程技术人员,2512,Database and network professionals,2,10,9,0.4935,0.668,0.5925,3,4,3,0.4935,0,75,10,65,1,3,1,4,verified
2-02-02-08,导航与位置服务工程技术人员,2149,Engineering professionals not elsewhere classified,2,10,9,0.458,0.708,0.6745,3,4,4,0.458,0,75,20,65,1,3,0,0,unmatched
2-02-02-09,地质测绘工程技术人员,2142,Surveying and Mapping Professionals,2,10,9,0.3845,0.7055,0.699,3,4,4,0.3845,0,75,40,60,1,3,0,0,verified
2-02-03-01,矿井建设工程技术人员,2142,Mining Engineers,2,10,9,0.3525,0.7455,0.715,2,4,4,0.3525,0,75,40,65,1,3,0,0,verified
2-02-03-02,采矿工程技术人员,2142,Mining Engineers,2,10,9,0.3785,0.7225,0.6625,3,4,4,0.3785,0,75,30,65,1,3,0,0,verified
2-02-03-03,矿山通风工程技术人员,2142,Mining Engineers,2,10,9,0.316,0.656,0.734,2,4,4,0.316,0,75,40,65,1,3,0,0,verified
2-02-03-04,选矿与矿物加工工程技术人员,2149,Engineering professionals not elsewhere classified,2,10,9,0.473,0.751,0.7265,3,4,4,0.473,0,75,30,65,1,3,0,0,unmatched
2-02-03-05,矿山环保复垦工程技术人员,2142,Environmental Engineering Professionals,2,10,9,0.438,0.7085,0.562,3,4,3,0.438,0,72,45,68,1,3,0,0,verified
2-02-04-01,石油天然气开采工程技术人员,2142,Mining and quarrying engineers,2,10,9,0.388,0.733,0.695,3,4,4,0.388,0,85,40,65,1,3,0,0,verified
2-02-04-02,石油天然气储运工程技术人员,2144,Petroleum Engineers,2,10,9,0.3805,0.7225,0.724,3,4,4,0.3805,0,75,20,65,1,3,0,0,verified
2-02-05-01,冶炼工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.3725,0.6935,0.7235,2,4,4,0.3725,0,75,40,65,1,3,0,0,unmatched
2-02-05-02,轧制工程技术人员,2142,Mining and Metallurgical Engineers,2,10,9,0.406,0.694,0.6405,3,4,4,0.406,0,72,25,65,1,3,0,0,verified
2-02-05-03,焦化工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.353,0.717,0.689,2,4,4,0.353,0,78,35,65,1,3,0,0,unmatched
2-02-05-04,金属材料工程技术人员,2149,Engineering professionals not elsewhere classified,2,10,9,0.339,0.688,0.723,2,4,4,0.339,0,75,20,65,1,3,0,0,unmatched
2-02-05-05,耐火材料工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.2955,0.6625,0.6895,2,4,4,0.2955,0,78,35,65,1,3,0,0,unmatched
2-02-05-06,炭素材料工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.3435,0.6735,0.709,2,4,4,0.3435,0,82,25,65,1,3,0,0,unmatched
2-02-05-07,冶金热能工程技术人员,2142,Mining and Metallurgy Engineers,2,10,9,0.277,0.697,0.671,2,4,4,0.277,0,75,30,65,1,3,0,0,verified
2-02-05-08,铸管工程技术人员,2144,Engineering Professionals (Other),2,10,9,0.4345,0.725,0.6425,3,4,4,0.4345,0,75,30,60,1,3,0,0,verified
2-02-05-09,稀土工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.4545,0.7385,0.6375,3,4,4,0.4545,0,85,30,65,1,3,0,0,unmatched
2-02-06-01,化工实验工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.405,0.6755,0.696,3,4,4,0.405,0,72,35,65,1,3,0,0,unmatched
2-02-06-02,化工设计工程技术人员,2142,Chemical Engineers,2,10,9,0.319,0.6715,0.711,2,4,4,0.319,0,85,20,65,1,3,0,0,verified
2-02-06-03,化工生产工程技术人员,2141,Chemical Engineers,2,10,9,0.237,0.6545,0.688,2,4,4,0.237,0,75,30,65,1,3,0,0,verified
2-02-07-01,机械设计工程技术人员,2142,Mechanical Engineers,2,10,9,0.3845,0.635,0.675,3,4,4,0.3845,0,85,20,65,1,3,0,0,verified
2-02-07-02,机械制造工程技术人员,2142,Mechanical Engineers,2,10,9,0.326,0.735,0.6995,2,4,4,0.326,0,75,20,65,1,3,0,0,verified
2-02-07-03,仪器仪表工程技术人员,2149,Engineering professionals not elsewhere classified,2,10,9,0.3855,0.665,0.71,3,4,4,0.3855,0,75,30,65,1,3,0,0,unmatched
2-02-07-04,设备工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.3425,0.718,0.6175,2,4,3,0.3425,0,72,35,65,1,3,0,0,unmatched
2-02-07-05,医学设备管理工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.4955,0.734,0.6825,3,4,4,0.4955,0,65,30,70,1,3,0,0,unmatched
2-02-07-06,模具设计工程技术人员,2144,Engineering Technicians,2,10,9,0.3675,0.716,0.6375,2,4,4,0.3675,0,75,20,65,1,3,0,0,verified
2-02-07-07,自动控制工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.3865,0.757,0.6135,3,4,3,0.3865,0,85,25,60,1,3,0,0,unmatched
2-02-07-08,材料成形与改性工程技术人员,2149,Engineering professionals not elsewhere classified,2,10,9,0.418,0.732,0.665,3,4,4,0.418,0,75,25,60,1,3,0,0,unmatched
2-02-07-09,焊接工程技术人员,2142,Engineering professionals (excluding electrical and electronics engineering),2,10,9,0.4165,0.7195,0.6,3,4,3,0.4165,0,72,25,65,1,3,0,0,verified
2-02-07-10,特种设备管理和应用工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.3735,0.6395,0.6935,2,4,4,0.3735,0,75,30,65,1,3,0,0,unmatched
2-02-07-11,汽车工程技术人员,2144,Engineering professionals (other than electrical and electronics),2,10,9,0.5255,0.7045,0.696,3,4,4,0.5255,0,85,25,60,1,3,0,0,verified
2-02-07-12,船舶工程技术人员,2144,Marine Engineers,2,10,9,0.3475,0.694,0.655,2,4,4,0.3475,0,85,30,65,1,3,0,0,verified
2-02-07-13,铸造工程技术人员,2142,Mining and Materials Engineers,2,10,9,0.3955,0.7325,0.661,3,4,4,0.3955,0,75,40,60,1,3,0,0,verified
2-02-08-01,飞行器设计工程技术人员,2149,Engineering professionals not elsewhere classified,2,10,9,0.4445,0.682,0.6085,3,4,3,0.4445,0,85,20,65,1,3,0,0,unmatched
2-02-08-02,飞行器制造工程技术人员,2144,Engineering professionals (excluding electrical and electronics),2,10,9,0.3815,0.724,0.657,3,4,4,0.3815,0,75,20,65,1,3,0,0,verified
2-02-08-03,航空动力装置设计工程技术人员,2149,Engineering professionals not elsewhere classified,2,10,9,0.261,0.7015,0.716,2,4,4,0.261,0,92,25,65,1,3,0,0,unmatched
2-02-08-04,航空动力装置制造工程技术人员,2144,Engineering professionals not elsewhere classified,2,10,9,0.2925,0.758,0.729,2,4,4,0.2925,0,85,25,60,1,3,0,0,verified
2-02-08-05,航空产品试验与飞行试验工程技术人员,2149,Engineering professionals not elsewhere classified,2,10,9,0.3445,0.721,0.651,2,4,4,0.3445,0,85,25,65,1,3,0,0,unmatched
2-02-08-06,航空产品适航工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.4465,0.6995,0.6235,3,4,3,0.4465,0,85,10,75,1,4,0,0,unmatched
2-02-08-07,航空产品支援工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.48,0.6935,0.669,3,4,4,0.48,0,75,20,65,1,3,0,0,unmatched
2-02-08-08,机载设备设计制造工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.403,0.643,0.656,3,4,4,0.403,0,85,25,60,1,3,0,0,unmatched
2-02-09-01,电子材料工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.303,0.712,0.665,2,4,4,0.303,0,85,20,65,1,3,0,0,unmatched
2-02-09-02,电子元器件工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.409,0.704,0.596,3,4,3,0.409,0,75,20,65,1,3,0,0,unmatched
2-02-09-03,雷达导航工程技术人员,2149,Engineering professionals not elsewhere classified,2,10,9,0.3585,0.688,0.6475,2,4,4,0.3585,0,85,30,60,1,3,0,0,unmatched
2-02-09-04,电子仪器与电子测量工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.295,0.7135,0.705,2,4,4,0.295,0,78,25,65,1,3,0,0,unmatched
2-02-09-05,广播视听设备工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.237,0.6735,0.715,2,4,4,0.237,0,72,35,65,1,3,0,0,unmatched
2-02-10-02,计算机硬件工程技术人员,2512,Software and applications developers and analysts,2,10,9,0.475,0.72,0.6485,3,4,4,0.475,0,85,20,65,1,3,0,0,verified
2-02-10-03,计算机软件工程技术人员,2512,Software and applications developers and analysts,2,10,9,0.44,0.7505,0.625,3,4,4,0.44,1,85,10,75,1,3,1,4,verified
2-02-10-04,计算机网络工程技术人员,2523,Database and network professionals,2,10,9,0.4615,0.746,0.6035,3,4,3,0.4615,0,75,20,65,1,3,0,0,verified
2-02-10-05,信息系统分析工程技术人员,2511,Systems Analysts,2,10,9,0.434,0.743,0.6115,3,4,3,0.434,0,75,10,70,1,3,0,0,verified
2-02-10-06,嵌入式系统设计工程技术人员,2512,Software and applications developers and analysts,2,10,9,0.2985,0.6695,0.7015,2,4,4,0.2985,0,85,20,65,1,3,1,4,verified
2-02-10-07,信息安全工程技术人员,2529,Information and communications technology professionals not elsewhere classified,2,10,9,0.4175,0.7435,0.585,3,4,3,0.4175,0,85,20,65,1,3,0,0,unmatched
2-02-10-08,信息系统运行维护工程技术人员,2522,Systems Analysts,2,10,9,0.443,0.648,0.6425,3,4,4,0.443,0,75,20,65,1,3,0,0,verified
2-02-11-01,电工电器工程技术人员,2141,Electrical Engineers,2,10,9,0.3955,0.739,0.685,3,4,4,0.3955,0,75,20,65,1,3,0,0,verified
2-02-11-02,电缆光缆工程技术人员,2142,Electrical Engineers,2,10,9,0.369,0.7065,0.631,2,4,4,0.369,0,72,25,65,1,3,0,0,verified
2-02-11-03,光源与照明工程技术人员,2142,Electrical Engineers,2,10,9,0.265,0.66,0.695,2,4,4,0.265,0,75,20,65,1,3,0,0,verified
2-02-12-01,发电工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.4515,0.7105,0.5485,3,4,3,0.4515,0,75,20,65,1,3,0,0,unmatched
2-02-12-02,供用电工程技术人员,2149,Engineering professionals not elsewhere classified,2,9,9,0.301,0.726,0.699,2,4,4,0.301,0,75,20,65,1,3,0,0,unmatched
2-02-12-03,变电工程技术人员,2141,Electrical Engineers,2,10,9,0.3825,0.725,0.678,3,4,4,0.3825,0,75,40,65,1,3,0,0,verified
2-02-12-04,输电工程技术人员,2142,Electrical Engineers,2,10,9,0.32,0.718,0.68,2,4,4,0.32,0,78,45,65,1,3,0,0,verified
2-02-12-05,电力工程安装工程技术人员,2141,Electrical Engineers,2,10,9,0.3915,0.7115,0.6615,3,4,4,0.3915,0,72,45,68,1,3,0,0,verified
2-02-13-01,邮政工程技术人员,2142,Engineering professionals (general),2,10,9,0.365,0.703,0.635,2,4,4,0.365,0,75,20,65,1,3,0,0,verified
2-02-13-02,快递工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.402,0.71,0.598,3,4,3,0.402,0,75,20,65,1,3,0,0,unmatched
2-02-14-01,广播电视制播工程技术人员,2144,Broadcasting and Audio-Visual Production Technicians,2,10,9,0.3205,0.637,0.6795,2,4,4,0.3205,0,75,30,60,1,3,0,0,verified
2-02-14-02,广播电视传输覆盖工程技术人员,2142,Telecommunications Engineering Professionals,2,10,9,0.3975,0.722,0.6505,3,4,4,0.3975,0,72,35,65,1,3,0,0,verified
2-02-14-03,电影工程技术人员,2149,Engineering professionals not elsewhere classified,2,10,9,0.3215,0.6745,0.725,2,4,4,0.3215,0,75,40,60,1,3,0,0,unmatched
2-02-14-04,演艺设备工程技术人员,2149,Engineering professionals not elsewhere classified,2,10,9,0.3815,0.6785,0.653,3,4,4,0.3815,0,75,40,65,1,3,0,0,unmatched
2-02-15-01,汽车运用工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.4605,0.6665,0.805,3,4,4,0.4605,0,75,30,65,1,3,0,0,unmatched
2-02-15-02,船舶运用工程技术人员,2142,Marine Engineers,2,10,9,0.4485,0.736,0.6565,3,4,4,0.4485,0,75,40,65,1,3,0,0,verified
2-02-15-03,水上交通工程技术人员,2143,Marine Engineers,2,10,9,0.494,0.731,0.506,3,4,3,0.494,0,72,25,68,1,3,0,0,verified
2-02-15-04,水上救助打捞工程技术人员,2142,Engineering professionals (general),2,10,9,0.3685,0.7315,0.679,2,4,4,0.3685,0,75,80,60,1,4,0,0,verified
2-02-15-05,船舶检验工程技术人员,2141,Engineering professionals (excluding electrical and electronics engineering),2,10,9,0.3705,0.7005,0.6295,2,4,4,0.3705,0,75,30,65,1,3,0,0,verified
2-02-15-06,无线电航标操作与维护工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.4345,0.7395,0.5875,3,4,3,0.4345,0,72,45,65,1,3,0,0,unmatched
2-02-15-07,视觉航标工程技术人员,2142,Electrical Engineers,2,10,9,0.4865,0.726,0.5135,3,4,3,0.4865,0,65,45,60,1,3,0,0,verified
2-02-15-08,道路交通工程技术人员,2142,Civil Engineers,2,10,9,0.302,0.677,0.72,2,4,4,0.302,0,75,20,65,1,3,0,0,verified
2-02-15-09,公路养护工程技术人员,2142,Civil Engineering Professionals,2,10,9,0.3515,0.6855,0.6485,2,4,4,0.3515,0,72,45,68,1,3,0,0,verified
2-02-16-01,民用航空器维修与适航工程技术人员,2144,Engineering Professionals (Other),2,10,9,0.3525,0.6285,0.6575,2,4,4,0.3525,0,85,40,65,1,3,0,0,verified
2-02-16-02,民航空中交通管理工程技术人员,2141,Air Traffic Controllers,2,10,9,0.4405,0.7655,0.7486,3,4,4,0.4405,0,92,10,75,1,4,0,0,verified
2-02-16-03,民航通用航空工程技术人员,2149,Engineering professionals not elsewhere classified,2,10,9,0.349,0.7265,0.7025,2,4,4,0.349,0,75,30,65,1,3,0,0,unmatched
2-02-16-04,民航飞行签派工程技术人员,2141,Aircraft Pilots and Flight Engineers,2,10,9,0.4165,0.736,0.5835,3,4,3,0.4165,0,85,10,75,1,3,0,0,verified
2-02-17-01,铁道运输工程技术人员,2141,Civil Engineers,2,10,9,0.394,0.727,0.725,3,4,4,0.394,0,78,25,65,1,3,0,0,verified
2-02-17-02,铁道机务工程技术人员,2142,Engineering professionals (general),2,10,9,0.4825,0.695,0.6655,3,4,4,0.4825,0,75,30,65,1,3,0,0,verified
2-02-17-03,铁道车辆工程技术人员,2142,Engineering professionals (excluding electrical and electronics engineering),2,10,9,0.2795,0.6755,0.7445,2,4,4,0.2795,0,75,30,65,1,3,0,0,verified
2-02-17-04,铁道电务工程技术人员,2143,Electrical and electronics engineering technicians,2,10,9,0.369,0.671,0.682,2,4,4,0.369,0,75,30,65,1,3,0,0,verified
2-02-17-05,铁道供电工程技术人员,2141,Electrical Engineers,2,10,9,0.4105,0.7545,0.5895,3,4,3,0.4105,0,75,40,65,1,3,0,0,verified
2-02-17-06,铁道工务工程技术人员,2142,Civil Engineers,2,10,9,0.4915,0.7115,0.669,3,4,4,0.4915,0,75,40,65,1,3,0,0,verified
2-02-18-01,建筑和市政设计工程技术人员,2141,Civil engineers,2,10,9,0.365,0.636,0.698,2,4,4,0.365,0,85,20,75,1,4,0,0,verified
2-02-18-02,土木建筑工程技术人员,2142,Civil Engineers,2,10,9,0.344,0.717,0.7105,2,4,4,0.344,0,72,25,68,1,3,0,0,verified
2-02-18-03,风景园林工程技术人员,2142,Architects,2,10,9,0.3445,0.602,0.6405,2,3,4,0.3445,0,75,30,65,1,3,0,0,verified
2-02-18-04,供水排水工程技术人员,2144,Civil Engineers,2,10,9,0.3425,0.708,0.693,2,4,4,0.3425,0,75,30,65,1,3,0,0,verified
2-02-18-05,工程勘察与岩土工程技术人员,2142,Civil Engineers,2,10,9,0.4145,0.7155,0.6865,3,4,4,0.4145,0,85,40,65,1,3,0,0,verified
2-02-18-06,城镇燃气与供热工程技术人员,2144,Engineering Professionals (Other),2,10,9,0.3625,0.7255,0.653,2,4,4,0.3625,0,72,25,65,1,3,0,0,verified
2-02-18-07,环境卫生工程技术人员,2142,Environmental Engineering Professionals,2,10,9,0.4035,0.702,0.75,3,4,4,0.4035,0,72,25,68,1,3,0,0,verified
2-02-18-08,道路与桥隧工程技术人员,2142,Civil Engineers,2,10,9,0.348,0.6975,0.655,2,4,4,0.348,0,75,30,65,1,3,0,0,verified
2-02-18-09,港口与航道工程技术人员,2142,Civil Engineers,2,10,9,0.3755,0.648,0.6245,3,4,3,0.3755,0,75,30,65,1,3,0,0,verified
2-02-18-10,民航机场工程技术人员,2142,Civil Engineering Professionals,2,10,9,0.3125,0.6445,0.6575,2,4,4,0.3125,0,75,25,65,1,3,0,0,verified
2-02-18-11,铁路建筑工程技术人员,2142,Civil Engineers,2,10,9,0.3965,0.8005,0.6185,3,4,3,0.3965,0,75,30,65,1,3,0,0,verified
2-02-18-12,水利水电建筑工程技术人员,2142,Civil Engineers,2,10,9,0.373,0.72,0.627,2,4,4,0.373,0,85,40,75,1,3,0,0,verified
2-02-18-13,爆破工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,2,10,9,0.3865,0.7085,0.682,3,4,4,0.3865,0,75,40,65,1,3,0,0,unmatched
2-02-19-01,硅酸盐工程技术人员,2142,Chemical Engineers,2,10,9,0.4385,0.734,0.7055,3,4,4,0.4385,0,75,25,65,1,3,0,0,verified
2-02-19-02,非金属矿及制品工程技术人员,2142,Mining and quarrying engineers,2,10,9,0.4395,0.6965,0.63,3,4,4,0.4395,0,72,35,65,1,3,0,0,verified
