Code / 代码,Name (CN) / 名称 (中文),ISCO-08 Code / ISCO-08 代码,ISCO-08 Title (EN) / ISCO-08 英文名称,Task Count / 任务数量,KSA Count / KSA 数量,Avg Substitutivity / 平均替代性,Avg Augmentation / 平均增强性,Avg Complementarity / 平均互补性,Cognitive Req / 认知门槛,Physical Intensity / 体力强度,Language Intensity / 语言强度
2-02-02-07,地理信息系统工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.50,0.61,0.58,75,10,65
2-02-02-08,导航与位置服务工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.44,0.68,0.68,75,20,65
2-02-02-09,地质测绘工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.41,0.70,0.68,75,40,60
2-02-03-01,矿井建设工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.77,0.67,75,40,65
2-02-03-02,采矿工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.72,0.65,75,30,65
2-02-03-03,矿山通风工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.32,0.64,0.71,75,40,65
2-02-03-04,选矿与矿物加工工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.45,0.72,0.74,75,30,65
2-02-03-05,矿山环保复垦工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.44,0.69,0.56,72,45,68
2-02-04-01,石油天然气开采工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.72,0.66,85,40,65
2-02-04-02,石油天然气储运工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.73,0.68,75,20,65
2-02-05-01,冶炼工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.42,0.70,0.69,75,40,65
2-02-05-02,轧制工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.68,0.63,72,25,65
2-02-05-03,焦化工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.40,0.73,0.65,78,35,65
2-02-05-04,金属材料工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.35,0.68,0.70,75,20,65
2-02-05-05,耐火材料工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.31,0.64,0.66,78,35,65
2-02-05-06,炭素材料工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.39,0.67,0.67,82,25,65
2-02-05-07,冶金热能工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.30,0.68,0.65,75,30,65
2-02-05-08,铸管工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.70,0.64,75,30,60
2-02-05-09,稀土工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.48,0.74,0.61,85,30,65
2-02-06-01,化工实验工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.43,0.67,0.68,72,35,65
2-02-06-02,化工设计工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.68,0.68,85,20,65
2-02-06-03,化工生产工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.26,0.65,0.66,75,30,65
2-02-07-01,机械设计工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.60,0.62,85,20,65
2-02-07-02,机械制造工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.33,0.72,0.70,75,20,65
2-02-07-03,仪器仪表工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.41,0.66,0.70,75,30,65
2-02-07-04,设备工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.42,0.74,0.55,72,35,65
2-02-07-05,医学设备管理工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.54,0.72,0.66,65,30,70
2-02-07-06,模具设计工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.41,0.70,0.59,75,20,65
2-02-07-07,自动控制工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.40,0.75,0.59,85,25,60
2-02-07-08,材料成形与改性工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.45,0.70,0.63,75,25,60
2-02-07-09,焊接工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.44,0.71,0.55,72,25,65
2-02-07-10,特种设备管理和应用工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.41,0.66,0.67,75,30,65
2-02-07-11,汽车工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.56,0.72,0.65,85,25,60
2-02-07-12,船舶工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.68,0.63,85,30,65
2-02-07-13,铸造工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.75,0.61,75,40,60
2-02-08-01,飞行器设计工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.49,0.67,0.56,85,20,65
2-02-08-02,飞行器制造工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.73,0.62,75,20,65
2-02-08-03,航空动力装置设计工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.30,0.71,0.68,92,25,65
2-02-08-04,航空动力装置制造工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.34,0.76,0.68,85,25,60
2-02-08-05,航空产品试验与飞行试验工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.35,0.70,0.64,85,25,65
2-02-08-06,航空产品适航工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.51,0.72,0.58,85,10,75
2-02-08-07,航空产品支援工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.48,0.68,0.66,75,20,65
2-02-08-08,机载设备设计制造工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.43,0.62,0.62,85,25,60
2-02-09-01,电子材料工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.36,0.72,0.61,85,20,65
2-02-09-02,电子元器件工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.42,0.68,0.57,75,20,65
2-02-09-03,雷达导航工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.42,0.69,0.58,85,30,60
2-02-09-04,电子仪器与电子测量工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.35,0.73,0.65,78,25,65
2-02-09-05,广播视听设备工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.29,0.68,0.68,72,35,65
2-02-10-02,计算机硬件工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.48,0.70,0.62,85,20,65
2-02-10-03,计算机软件工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.73,0.58,85,10,75
2-02-10-04,计算机网络工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.48,0.74,0.58,75,20,65
2-02-10-05,信息系统分析工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.47,0.76,0.59,75,10,70
2-02-10-06,嵌入式系统设计工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.32,0.67,0.68,85,20,65
2-02-10-07,信息安全工程技术人员,2529,Information and communications technology professionals not elsewhere classified,10,9,0.43,0.73,0.57,85,20,65
2-02-10-08,信息系统运行维护工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.63,0.64,75,20,65
2-02-11-01,电工电器工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.72,0.65,75,20,65
2-02-11-02,电缆光缆工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.70,0.61,72,25,65
2-02-11-03,光源与照明工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.30,0.66,0.65,75,20,65
2-02-12-01,发电工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.51,0.73,0.49,75,20,65
2-02-12-02,供用电工程技术人员,2149,Engineering professionals not elsewhere classified,9,9,0.30,0.72,0.70,75,20,65
2-02-12-03,变电工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.41,0.72,0.66,75,40,65
2-02-12-04,输电工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.34,0.71,0.66,78,45,65
2-02-12-05,电力工程安装工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.74,0.61,72,45,68
2-02-13-01,邮政工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.70,0.61,75,20,65
2-02-13-02,快递工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.38,0.67,0.62,75,20,65
2-02-14-01,广播电视制播工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.34,0.61,0.67,75,30,60
2-02-14-02,广播电视传输覆盖工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.70,0.64,72,35,65
2-02-14-03,电影工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.38,0.69,0.68,75,40,60
2-02-14-04,演艺设备工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.45,0.69,0.60,75,40,65
2-02-15-01,汽车运用工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.47,0.66,0.80,75,30,65
2-02-15-02,船舶运用工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.47,0.74,0.64,75,40,65
2-02-15-03,水上交通工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.71,0.51,72,25,68
2-02-15-04,水上救助打捞工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.76,0.62,75,80,60
2-02-15-05,船舶检验工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.72,0.59,75,30,65
2-02-15-06,无线电航标操作与维护工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.48,0.76,0.55,72,45,65
2-02-15-07,视觉航标工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.72,0.51,65,45,60
2-02-15-08,道路交通工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.34,0.68,0.70,75,20,65
2-02-15-09,公路养护工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.68,0.61,72,45,68
2-02-16-01,民用航空器维修与适航工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.65,0.61,85,40,65
2-02-16-02,民航空中交通管理工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.46,0.76,0.73,92,10,75
2-02-16-03,民航通用航空工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.35,0.71,0.70,75,30,65
2-02-16-04,民航飞行签派工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.73,0.55,85,10,75
2-02-17-01,铁道运输工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.41,0.68,0.70,78,25,65
2-02-17-02,铁道机务工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.51,0.70,0.64,75,30,65
2-02-17-03,铁道车辆工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.27,0.66,0.75,75,30,65
2-02-17-04,铁道电务工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.41,0.66,0.65,75,30,65
2-02-17-05,铁道供电工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.44,0.76,0.56,75,40,65
2-02-17-06,铁道工务工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.53,0.72,0.64,75,40,65
2-02-18-01,建筑和市政设计工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.62,0.70,85,20,75
2-02-18-02,土木建筑工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.73,0.68,72,25,68
2-02-18-03,风景园林工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.59,0.59,75,30,65
2-02-18-04,供水排水工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.68,0.70,75,30,65
2-02-18-05,工程勘察与岩土工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.73,0.65,85,40,65
2-02-18-06,城镇燃气与供热工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.72,0.64,72,25,65
2-02-18-07,环境卫生工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.67,0.77,72,25,68
2-02-18-08,道路与桥隧工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.36,0.68,0.62,75,30,65
2-02-18-09,港口与航道工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.60,0.57,75,30,65
2-02-18-10,民航机场工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.37,0.67,0.60,75,25,65
2-02-18-11,铁路建筑工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.44,0.81,0.57,75,30,65
2-02-18-12,水利水电建筑工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.70,0.62,85,40,75
2-02-18-13,爆破工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.42,0.70,0.66,75,40,65
2-02-19-01,硅酸盐工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.71,0.69,75,25,65
2-02-19-02,非金属矿及制品工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.44,0.68,0.62,72,35,65
2-02-19-03,无机非金属材料工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.45,0.76,0.63,75,25,65
2-02-19-04,混凝土工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.63,0.68,75,30,65
2-02-20-01,防沙治沙工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.75,0.59,75,40,65
2-02-20-02,森林培育工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.66,0.67,72,45,68
2-02-20-03,园林绿化工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.46,0.70,0.53,72,35,65
2-02-20-04,野生动植物保护利用工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.53,0.73,0.65,75,40,65
2-02-20-05,自然保护区工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.33,0.61,0.71,72,45,68
2-02-20-06,森林保护工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.46,0.61,0.68,72,45,65
2-02-20-07,木竹藤棕草加工工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.70,0.68,68,25,65
2-02-20-08,森林采伐和运输工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.70,0.64,72,25,65
2-02-20-09,经济林产品加工工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.49,0.78,0.52,72,25,65
2-02-20-10,林业资源调查与监测工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.47,0.74,0.66,75,40,65
2-02-20-11,园林植物保护工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.35,0.61,0.62,72,45,65
2-02-20-12,湿地保护修复工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.68,0.75,75,40,65
2-02-21-01,水文水资源工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.44,0.63,0.73,75,30,65
2-02-21-02,水生态和河湖治理管护工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.51,0.67,0.58,72,35,68
2-02-21-03,水利工程管理工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.72,0.67,72,35,68
2-02-21-04,防汛抗旱减灾工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.72,0.72,75,40,65
2-02-21-05,节水工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.47,0.77,0.70,72,25,68
2-02-22-01,海洋调查与监测工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.49,0.72,0.67,75,45,60
2-02-22-02,海洋环境预报工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.43,0.72,0.57,85,25,65
2-02-22-03,海洋资源开发利用和保护工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.67,0.57,85,30,75
2-02-22-04,海洋工程勘察设计工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.67,0.55,85,30,65
2-02-22-05,海水淡化工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.74,0.67,78,25,65
2-02-22-06,深潜工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.33,0.68,0.68,85,40,60
2-02-23-01,纺织工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.36,0.67,0.72,72,25,65
2-02-23-02,染整工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.44,0.66,0.59,75,30,65
2-02-23-03,化学纤维工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.29,0.73,0.66,75,30,65
2-02-23-04,非织造工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.76,0.69,72,25,65
2-02-23-05,服装工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.40,0.70,0.60,72,25,65
2-02-24-00,食品工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.39,0.70,0.66,75,20,65
2-02-25-01,气象观测工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.52,0.60,0.48,72,35,65
2-02-25-02,天气预报工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.40,0.69,0.58,85,20,75
2-02-25-03,气候监测预测工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.48,0.66,0.70,85,20,65
2-02-25-04,气象服务工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.44,0.65,0.66,75,20,70
2-02-25-05,人工影响天气工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.31,0.67,0.72,85,40,65
2-02-25-06,防雷工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.40,0.68,0.60,75,40,65
2-02-26-01,地震监测预测工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.39,0.70,0.70,85,20,65
2-02-26-02,地震应急救援工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.43,0.74,0.57,85,70,60
2-02-26-03,地震安全性评价工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.58,0.64,85,30,65
2-02-27-01,环境监测工程技术人员,2149,Environmental Protection Professionals,10,9,0.33,0.59,0.70,72,35,65
2-02-27-02,环境污染防治工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.73,0.67,75,30,65
2-02-27-03,环境影响评价工程技术人员,2149,Environmental Protection Professionals,10,9,0.41,0.73,0.68,75,20,70
2-02-27-04,核与辐射安全工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.36,0.68,0.64,85,30,65
2-02-27-05,核与辐射监测工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.42,0.67,0.65,75,30,65
2-02-27-06,健康安全环境工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.39,0.74,0.64,72,25,68
2-02-28-01,安全技术防范工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.32,0.63,0.72,75,30,65
2-02-28-02,消防工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.43,0.67,0.62,75,30,65
2-02-28-03,安全生产管理工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.34,0.72,0.67,72,25,68
2-02-28-04,安全评价工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.40,0.66,0.62,78,25,65
2-02-28-05,房屋安全鉴定工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.55,0.74,0.55,75,30,65
2-02-28-06,防伪工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.43,0.69,0.61,75,20,65
2-02-29-01,标准化工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.60,0.58,0.57,75,10,80
2-02-29-02,计量工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.48,0.76,0.68,75,30,65
2-02-29-03,质量管理工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.48,0.74,0.57,72,20,65
2-02-29-04,质量认证认可工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.55,0.68,0.45,75,20,65
2-02-29-05,可靠性工程技术人员,2149,Engineering Professionals Not Elsewhere Classified,10,9,0.35,0.70,0.65,75,20,65
